commentId,comment,classification,comment_processed,word_phrase_list,completely,text,box,black,black white,white,similarity_score
123061,I stayed overnight in the hospital and the pain I had previously is completely gone.,0,stay hospital pain previously completely go,"['stay', 'stay hospital', 'stay hospital pain', 'stay hospital pain previously', 'stay hospital pain previously completely', 'stay hospital pain previously completely go', 'hospital', 'hospital pain', 'hospital pain previously', 'hospital pain previously completely', 'hospital pain previously completely go', 'pain', 'pain previously', 'pain previously completely', 'pain previously completely go', 'previously', 'previously completely', 'previously completely go', 'completely', 'completely go', 'go']",1,0,0,0,0,0,0.125
91271,and did osteotomies on me (completely unnecessary) when I already had major osteotomies previously.,1,osteotomy completely unnecessary major osteotomy previously,"['osteotomy', 'osteotomy completely', 'osteotomy completely unnecessary', 'osteotomy completely unnecessary major', 'osteotomy completely unnecessary major osteotomy', 'osteotomy completely unnecessary major osteotomy previously', 'completely', 'completely unnecessary', 'completely unnecessary major', 'completely unnecessary major osteotomy', 'completely unnecessary major osteotomy previously', 'unnecessary', 'unnecessary major', 'unnecessary major osteotomy', 'unnecessary major osteotomy previously', 'major', 'major osteotomy', 'major osteotomy previously', 'osteotomy', 'osteotomy previously', 'previously']",1,0,0,0,0,0,0.125
169444,My nose was completely botched and my breast reduction wasn't too good either.,1,nose completely mottle breast reduction good,"['nose', 'nose completely', 'nose completely mottle', 'nose completely mottle breast', 'nose completely mottle breast reduction', 'nose completely mottle breast reduction good', 'completely', 'completely mottle', 'completely mottle breast', 'completely mottle breast reduction', 'completely mottle breast reduction good', 'mottle', 'mottle breast', 'mottle breast reduction', 'mottle breast reduction good', 'breast', 'breast reduction', 'breast reduction good', 'reduction', 'reduction good', 'good']",1,0,0,0,0,0,0.125
97950,"The dentist, Dr. Lichtenstein and his staff made my visit completely comfortable",0,dentist staff visit completely comfortable,"['dentist', 'dentist staff', 'dentist staff visit', 'dentist staff visit completely', 'dentist staff visit completely comfortable', 'staff', 'staff visit', 'staff visit completely', 'staff visit completely comfortable', 'visit', 'visit completely', 'visit completely comfortable', 'completely', 'completely comfortable', 'comfortable']",1,0,0,0,0,0,0.125
151045,"I'm getting SPAM text messages from Katherine Kenneweg, MD Dermatologist to market her services.",1,m get spasm text message md dermatologist market service,"['m', 'm get', 'm get spasm', 'm get spasm text', 'm get spasm text message', 'm get spasm text message md', 'm get spasm text message md dermatologist', 'm get spasm text message md dermatologist market', 'm get spasm text message md dermatologist market service', 'get', 'get spasm', 'get spasm text', 'get spasm text message', 'get spasm text message md', 'get spasm text message md dermatologist', 'get spasm text message md dermatologist market', 'get spasm text message md dermatologist market service', 'spasm', 'spasm text', 'spasm text message', 'spasm text message md', 'spasm text message md dermatologist', 'spasm text message md dermatologist market', 'spasm text message md dermatologist market service', 'text', 'text message', 'text message md', 'text message md dermatologist', 'text message md dermatologist market', 'text message md dermatologist market service', 'message', 'message md', 'message md dermatologist', 'message md dermatologist market', 'message md dermatologist market service', 'md', 'md dermatologist', 'md dermatologist market', 'md dermatologist market service', 'dermatologist', 'dermatologist market', 'dermatologist market service', 'market', 'market service', 'service']",0,1,0,0,0,0,0.125
122354,I felt she was a huge bow and cover on a gift box,0,feel huge bow cover gift box,"['feel', 'feel huge', 'feel huge bow', 'feel huge bow cover', 'feel huge bow cover gift', 'feel huge bow cover gift box', 'huge', 'huge bow', 'huge bow cover', 'huge bow cover gift', 'huge bow cover gift box', 'bow', 'bow cover', 'bow cover gift', 'bow cover gift box', 'cover', 'cover gift', 'cover gift box', 'gift', 'gift box', 'box']",0,0,1,0,0,0,0.125
135134,When I came for my consultation I felt completely comfortable with Dr.Kattash because he came in with full of energy,0,come consultation feel completely comfortable drkattash come energy,"['come', 'come consultation', 'come consultation feel', 'come consultation feel completely', 'come consultation feel completely comfortable', 'come consultation feel completely comfortable drkattash', 'come consultation feel completely comfortable drkattash come', 'come consultation feel completely comfortable drkattash come energy', 'consultation', 'consultation feel', 'consultation feel completely', 'consultation feel completely comfortable', 'consultation feel completely comfortable drkattash', 'consultation feel completely comfortable drkattash come', 'consultation feel completely comfortable drkattash come energy', 'feel', 'feel completely', 'feel completely comfortable', 'feel completely comfortable drkattash', 'feel completely comfortable drkattash come', 'feel completely comfortable drkattash come energy', 'completely', 'completely comfortable', 'completely comfortable drkattash', 'completely comfortable drkattash come', 'completely comfortable drkattash come energy', 'comfortable', 'comfortable drkattash', 'comfortable drkattash come', 'comfortable drkattash come energy', 'drkattash', 'drkattash come', 'drkattash come energy', 'come', 'come energy', 'energy']",1,0,0,0,0,0,0.125
150748,That made me looked older for my age  Now the eye bags are completely gone even in the mornings!,0,look old age eye bag completely go morning,"['look', 'look old', 'look old age', 'look old age eye', 'look old age eye bag', 'look old age eye bag completely', 'look old age eye bag completely go', 'look old age eye bag completely go morning', 'old', 'old age', 'old age eye', 'old age eye bag', 'old age eye bag completely', 'old age eye bag completely go', 'old age eye bag completely go morning', 'age', 'age eye', 'age eye bag', 'age eye bag completely', 'age eye bag completely go', 'age eye bag completely go morning', 'eye', 'eye bag', 'eye bag completely', 'eye bag completely go', 'eye bag completely go morning', 'bag', 'bag completely', 'bag completely go', 'bag completely go morning', 'completely', 'completely go', 'completely go morning', 'go', 'go morning', 'morning']",1,0,0,0,0,0,0.125
148437,"Next-Health is completely turning the health care system around, focusing on PREVENTATIVE healthcare and OPTIMIZING health.",0,nexthealth completely turn health care system rouse preventive healthcare optimize health,"['nexthealth', 'nexthealth completely', 'nexthealth completely turn', 'nexthealth completely turn health', 'nexthealth completely turn health care', 'nexthealth completely turn health care system', 'nexthealth completely turn health care system rouse', 'nexthealth completely turn health care system rouse preventive', 'nexthealth completely turn health care system rouse preventive healthcare', 'nexthealth completely turn health care system rouse preventive healthcare optimize', 'nexthealth completely turn health care system rouse preventive healthcare optimize health', 'completely', 'completely turn', 'completely turn health', 'completely turn health care', 'completely turn health care system', 'completely turn health care system rouse', 'completely turn health care system rouse preventive', 'completely turn health care system rouse preventive healthcare', 'completely turn health care system rouse preventive healthcare optimize', 'completely turn health care system rouse preventive healthcare optimize health', 'turn', 'turn health', 'turn health care', 'turn health care system', 'turn health care system rouse', 'turn health care system rouse preventive', 'turn health care system rouse preventive healthcare', 'turn health care system rouse preventive healthcare optimize', 'turn health care system rouse preventive healthcare optimize health', 'health', 'health care', 'health care system', 'health care system rouse', 'health care system rouse preventive', 'health care system rouse preventive healthcare', 'health care system rouse preventive healthcare optimize', 'health care system rouse preventive healthcare optimize health', 'care', 'care system', 'care system rouse', 'care system rouse preventive', 'care system rouse preventive healthcare', 'care system rouse preventive healthcare optimize', 'care system rouse preventive healthcare optimize health', 'system', 'system rouse', 'system rouse preventive', 'system rouse preventive healthcare', 'system rouse preventive healthcare optimize', 'system rouse preventive healthcare optimize health', 'rouse', 'rouse preventive', 'rouse preventive healthcare', 'rouse preventive healthcare optimize', 'rouse preventive healthcare optimize health', 'preventive', 'preventive healthcare', 'preventive healthcare optimize', 'preventive healthcare optimize health', 'healthcare', 'healthcare optimize', 'healthcare optimize health', 'optimize', 'optimize health', 'health']",1,0,0,0,0,0,0.125
150708,"She is incredibly knowledgeable, up to date and completely trustworthy.",0,incredibly knowledgeable date completely trustworthy,"['incredibly', 'incredibly knowledgeable', 'incredibly knowledgeable date', 'incredibly knowledgeable date completely', 'incredibly knowledgeable date completely trustworthy', 'knowledgeable', 'knowledgeable date', 'knowledgeable date completely', 'knowledgeable date completely trustworthy', 'date', 'date completely', 'date completely trustworthy', 'completely', 'completely trustworthy', 'trustworthy']",1,0,0,0,0,0,0.125
73647,Had we stayed with other doctors I would have been put through pointless and dangerous procedures that would have left me completely sterile.,0,stay doctor painless dangerous procedure leave completely sterile,"['stay', 'stay doctor', 'stay doctor painless', 'stay doctor painless dangerous', 'stay doctor painless dangerous procedure', 'stay doctor painless dangerous procedure leave', 'stay doctor painless dangerous procedure leave completely', 'stay doctor painless dangerous procedure leave completely sterile', 'doctor', 'doctor painless', 'doctor painless dangerous', 'doctor painless dangerous procedure', 'doctor painless dangerous procedure leave', 'doctor painless dangerous procedure leave completely', 'doctor painless dangerous procedure leave completely sterile', 'painless', 'painless dangerous', 'painless dangerous procedure', 'painless dangerous procedure leave', 'painless dangerous procedure leave completely', 'painless dangerous procedure leave completely sterile', 'dangerous', 'dangerous procedure', 'dangerous procedure leave', 'dangerous procedure leave completely', 'dangerous procedure leave completely sterile', 'procedure', 'procedure leave', 'procedure leave completely', 'procedure leave completely sterile', 'leave', 'leave completely', 'leave completely sterile', 'completely', 'completely sterile', 'sterile']",1,0,0,0,0,0,0.125
103140,"Completely satisfied with my results, and with the extraordinary professionalism and kindness of the staff.",0,completely satisfy result extraordinary professionalism kindness staff,"['completely', 'completely satisfy', 'completely satisfy result', 'completely satisfy result extraordinary', 'completely satisfy result extraordinary professionalism', 'completely satisfy result extraordinary professionalism kindness', 'completely satisfy result extraordinary professionalism kindness staff', 'satisfy', 'satisfy result', 'satisfy result extraordinary', 'satisfy result extraordinary professionalism', 'satisfy result extraordinary professionalism kindness', 'satisfy result extraordinary professionalism kindness staff', 'result', 'result extraordinary', 'result extraordinary professionalism', 'result extraordinary professionalism kindness', 'result extraordinary professionalism kindness staff', 'extraordinary', 'extraordinary professionalism', 'extraordinary professionalism kindness', 'extraordinary professionalism kindness staff', 'professionalism', 'professionalism kindness', 'professionalism kindness staff', 'kindness', 'kindness staff', 'staff']",1,0,0,0,0,0,0.125
143942,My first physician didn't give me not a fraction of the information that I received before and after my procedure with Dr.White.,0,doctor fraction information receive procedure white,"['doctor', 'doctor fraction', 'doctor fraction information', 'doctor fraction information receive', 'doctor fraction information receive procedure', 'doctor fraction information receive procedure white', 'fraction', 'fraction information', 'fraction information receive', 'fraction information receive procedure', 'fraction information receive procedure white', 'information', 'information receive', 'information receive procedure', 'information receive procedure white', 'receive', 'receive procedure', 'receive procedure white', 'procedure', 'procedure white', 'white']",0,0,0,0,0,1,0.125
94905,but I couldn't imagine anyone being better than Dr White.,0,imagine good dr white,"['imagine', 'imagine good', 'imagine good dr', 'imagine good dr white', 'good', 'good dr', 'good dr white', 'dr', 'dr white', 'white']",0,0,0,0,0,1,0.125
156893,"Completely unexeptable , and will never go back and its a shame cause like I said dr.swisher is a great doctor.",1,completely unexeptable shame cause like say drswisher great doctor,"['completely', 'completely unexeptable', 'completely unexeptable shame', 'completely unexeptable shame cause', 'completely unexeptable shame cause like', 'completely unexeptable shame cause like say', 'completely unexeptable shame cause like say drswisher', 'completely unexeptable shame cause like say drswisher great', 'completely unexeptable shame cause like say drswisher great doctor', 'unexeptable', 'unexeptable shame', 'unexeptable shame cause', 'unexeptable shame cause like', 'unexeptable shame cause like say', 'unexeptable shame cause like say drswisher', 'unexeptable shame cause like say drswisher great', 'unexeptable shame cause like say drswisher great doctor', 'shame', 'shame cause', 'shame cause like', 'shame cause like say', 'shame cause like say drswisher', 'shame cause like say drswisher great', 'shame cause like say drswisher great doctor', 'cause', 'cause like', 'cause like say', 'cause like say drswisher', 'cause like say drswisher great', 'cause like say drswisher great doctor', 'like', 'like say', 'like say drswisher', 'like say drswisher great', 'like say drswisher great doctor', 'say', 'say drswisher', 'say drswisher great', 'say drswisher great doctor', 'drswisher', 'drswisher great', 'drswisher great doctor', 'great', 'great doctor', 'doctor']",1,0,0,0,0,0,0.125
188643,Anytime I had questions I was able to text or call someone in the office and was provided with quick responses.,0,day question able text office provide quick response,"['day', 'day question', 'day question able', 'day question able text', 'day question able text office', 'day question able text office provide', 'day question able text office provide quick', 'day question able text office provide quick response', 'question', 'question able', 'question able text', 'question able text office', 'question able text office provide', 'question able text office provide quick', 'question able text office provide quick response', 'able', 'able text', 'able text office', 'able text office provide', 'able text office provide quick', 'able text office provide quick response', 'text', 'text office', 'text office provide', 'text office provide quick', 'text office provide quick response', 'office', 'office provide', 'office provide quick', 'office provide quick response', 'provide', 'provide quick', 'provide quick response', 'quick', 'quick response', 'response']",0,1,0,0,0,0,0.125
185508,I trust them completely with my Izzy and Freyja.,0,trust completely dizzy freya,"['trust', 'trust completely', 'trust completely dizzy', 'trust completely dizzy freya', 'completely', 'completely dizzy', 'completely dizzy freya', 'dizzy', 'dizzy freya', 'freya']",1,0,0,0,0,0,0.125
168504,I left with a completely personal wellness plan that I feel confident.,0,leave completely personal weakness plan feel confident,"['leave', 'leave completely', 'leave completely personal', 'leave completely personal weakness', 'leave completely personal weakness plan', 'leave completely personal weakness plan feel', 'leave completely personal weakness plan feel confident', 'completely', 'completely personal', 'completely personal weakness', 'completely personal weakness plan', 'completely personal weakness plan feel', 'completely personal weakness plan feel confident', 'personal', 'personal weakness', 'personal weakness plan', 'personal weakness plan feel', 'personal weakness plan feel confident', 'weakness', 'weakness plan', 'weakness plan feel', 'weakness plan feel confident', 'plan', 'plan feel', 'plan feel confident', 'feel', 'feel confident', 'confident']",1,0,0,0,0,0,0.125
131603,My front butt is completely gone and I now have that flat stomach that I had worked,0,butt completely go flat stomach work,"['butt', 'butt completely', 'butt completely go', 'butt completely go flat', 'butt completely go flat stomach', 'butt completely go flat stomach work', 'completely', 'completely go', 'completely go flat', 'completely go flat stomach', 'completely go flat stomach work', 'go', 'go flat', 'go flat stomach', 'go flat stomach work', 'flat', 'flat stomach', 'flat stomach work', 'stomach', 'stomach work', 'work']",1,0,0,0,0,0,0.125
126885,"I made my first appointment very easy, received two reminders by text about the appointment, no waiting time.",0,appointment easy receive reminder text appointment wait time,"['appointment', 'appointment easy', 'appointment easy receive', 'appointment easy receive reminder', 'appointment easy receive reminder text', 'appointment easy receive reminder text appointment', 'appointment easy receive reminder text appointment wait', 'appointment easy receive reminder text appointment wait time', 'easy', 'easy receive', 'easy receive reminder', 'easy receive reminder text', 'easy receive reminder text appointment', 'easy receive reminder text appointment wait', 'easy receive reminder text appointment wait time', 'receive', 'receive reminder', 'receive reminder text', 'receive reminder text appointment', 'receive reminder text appointment wait', 'receive reminder text appointment wait time', 'reminder', 'reminder text', 'reminder text appointment', 'reminder text appointment wait', 'reminder text appointment wait time', 'text', 'text appointment', 'text appointment wait', 'text appointment wait time', 'appointment', 'appointment wait', 'appointment wait time', 'wait', 'wait time', 'time']",0,1,0,0,0,0,0.125
61980,I'm delighted by the fact that he's completely interested in what's going on,0,m delight fact s completely interest s go,"['m', 'm delight', 'm delight fact', 'm delight fact s', 'm delight fact s completely', 'm delight fact s completely interest', 'm delight fact s completely interest s', 'm delight fact s completely interest s go', 'delight', 'delight fact', 'delight fact s', 'delight fact s completely', 'delight fact s completely interest', 'delight fact s completely interest s', 'delight fact s completely interest s go', 'fact', 'fact s', 'fact s completely', 'fact s completely interest', 'fact s completely interest s', 'fact s completely interest s go', 's', 's completely', 's completely interest', 's completely interest s', 's completely interest s go', 'completely', 'completely interest', 'completely interest s', 'completely interest s go', 'interest', 'interest s', 'interest s go', 's', 's go', 'go']",1,0,0,0,0,0,0.125
95944,blew the other options completely out of the water.,0,blow option completely water,"['blow', 'blow option', 'blow option completely', 'blow option completely water', 'option', 'option completely', 'option completely water', 'completely', 'completely water', 'water']",1,0,0,0,0,0,0.125
123771,and was prompt in her responses to all of my texts and emails while I was in recovery.,0,prompt response text e-mail recovery,"['prompt', 'prompt response', 'prompt response text', 'prompt response text e-mail', 'prompt response text e-mail recovery', 'response', 'response text', 'response text e-mail', 'response text e-mail recovery', 'text', 'text e-mail', 'text e-mail recovery', 'e-mail', 'e-mail recovery', 'recovery']",0,1,0,0,0,0,0.125
126778,"After just two months, my pain has completely subsided, the spasms have gone,",0,pain completely subside spasm go,"['pain', 'pain completely', 'pain completely subside', 'pain completely subside spasm', 'pain completely subside spasm go', 'completely', 'completely subside', 'completely subside spasm', 'completely subside spasm go', 'subside', 'subside spasm', 'subside spasm go', 'spasm', 'spasm go', 'go']",1,0,0,0,0,0,0.125
117058,My surgery was complicated and I have recovered completely.,0,surgery complicate recover completely,"['surgery', 'surgery complicate', 'surgery complicate recover', 'surgery complicate recover completely', 'complicate', 'complicate recover', 'complicate recover completely', 'recover', 'recover completely', 'completely']",1,0,0,0,0,0,0.125
119787,It was such a relief to me that I finally found a doctor that checked all the boxes,0,relief finally find doctor check box,"['relief', 'relief finally', 'relief finally find', 'relief finally find doctor', 'relief finally find doctor check', 'relief finally find doctor check box', 'finally', 'finally find', 'finally find doctor', 'finally find doctor check', 'finally find doctor check box', 'find', 'find doctor', 'find doctor check', 'find doctor check box', 'doctor', 'doctor check', 'doctor check box', 'check', 'check box', 'box']",0,0,1,0,0,0,0.125
143110,They helped me through recovery and were responsive to phone calls and even text messages during the entire process.,0,help recovery responsive phone call text message entire process,"['help', 'help recovery', 'help recovery responsive', 'help recovery responsive phone', 'help recovery responsive phone call', 'help recovery responsive phone call text', 'help recovery responsive phone call text message', 'help recovery responsive phone call text message entire', 'help recovery responsive phone call text message entire process', 'recovery', 'recovery responsive', 'recovery responsive phone', 'recovery responsive phone call', 'recovery responsive phone call text', 'recovery responsive phone call text message', 'recovery responsive phone call text message entire', 'recovery responsive phone call text message entire process', 'responsive', 'responsive phone', 'responsive phone call', 'responsive phone call text', 'responsive phone call text message', 'responsive phone call text message entire', 'responsive phone call text message entire process', 'phone', 'phone call', 'phone call text', 'phone call text message', 'phone call text message entire', 'phone call text message entire process', 'call', 'call text', 'call text message', 'call text message entire', 'call text message entire process', 'text', 'text message', 'text message entire', 'text message entire process', 'message', 'message entire', 'message entire process', 'entire', 'entire process', 'process']",0,1,0,0,0,0,0.125
95393,He is a perfectionist and has made sure that I am completely happy with all his work!,0,perfectionist sure completely happy work,"['perfectionist', 'perfectionist sure', 'perfectionist sure completely', 'perfectionist sure completely happy', 'perfectionist sure completely happy work', 'sure', 'sure completely', 'sure completely happy', 'sure completely happy work', 'completely', 'completely happy', 'completely happy work', 'happy', 'happy work', 'work']",1,0,0,0,0,0,0.125
172838,He came highly recommended to me and now I completely understand why.,0,come highly recommend completely understand,"['come', 'come highly', 'come highly recommend', 'come highly recommend completely', 'come highly recommend completely understand', 'highly', 'highly recommend', 'highly recommend completely', 'highly recommend completely understand', 'recommend', 'recommend completely', 'recommend completely understand', 'completely', 'completely understand', 'understand']",1,0,0,0,0,0,0.125
78887,"I completely put my life in his hands and have never regretted it to this day,",0,completely life hand regret,"['completely', 'completely life', 'completely life hand', 'completely life hand regret', 'life', 'life hand', 'life hand regret', 'hand', 'hand regret', 'regret']",1,0,0,0,0,0,0.125
116975,I can't speak about the doctor himself but the office staff is completely unprofessional.,1,speak doctor office staff completely professional,"['speak', 'speak doctor', 'speak doctor office', 'speak doctor office staff', 'speak doctor office staff completely', 'speak doctor office staff completely professional', 'doctor', 'doctor office', 'doctor office staff', 'doctor office staff completely', 'doctor office staff completely professional', 'office', 'office staff', 'office staff completely', 'office staff completely professional', 'staff', 'staff completely', 'staff completely professional', 'completely', 'completely professional', 'professional']",1,0,0,0,0,0,0.125
179953,caused by a completely different condition because he was unable to diagnose me.,1,cause completely different condition unable diagnose,"['cause', 'cause completely', 'cause completely different', 'cause completely different condition', 'cause completely different condition unable', 'cause completely different condition unable diagnose', 'completely', 'completely different', 'completely different condition', 'completely different condition unable', 'completely different condition unable diagnose', 'different', 'different condition', 'different condition unable', 'different condition unable diagnose', 'condition', 'condition unable', 'condition unable diagnose', 'unable', 'unable diagnose', 'diagnose']",1,0,0,0,0,0,0.125
