commentId,comment,classification,comment_processed,word_phrase_list,interest,interest personal,personal,personal life,life,similarity_score
59949,"Very candid, very professional, and personable.",0,candid professional personal,"['candid', 'candid professional', 'candid professional personal', 'professional', 'professional personal', 'personal']",0,0,1,0,0,0.16666666666666666
63446,"She listens carefully, is interested and is genuinely concerned.",0,listen carefully interest genuinely concerned,"['listen', 'listen carefully', 'listen carefully interest', 'listen carefully interest genuinely', 'listen carefully interest genuinely concerned', 'carefully', 'carefully interest', 'carefully interest genuinely', 'carefully interest genuinely concerned', 'interest', 'interest genuinely', 'interest genuinely concerned', 'genuinely', 'genuinely concerned', 'concerned']",1,0,0,0,0,0.09523809523809523
164260,"Muy buena experiencia en mi cirugia , todo muy limpio y personal de cuidado muy atento y amable .",0,experience en mi cirugia limit y personal delaware cuidado agent y amiable,"['experience', 'experience en', 'experience en mi', 'experience en mi cirugia', 'experience en mi cirugia limit', 'experience en mi cirugia limit y', 'experience en mi cirugia limit y personal', 'experience en mi cirugia limit y personal delaware', 'experience en mi cirugia limit y personal delaware cuidado', 'experience en mi cirugia limit y personal delaware cuidado agent', 'experience en mi cirugia limit y personal delaware cuidado agent y', 'experience en mi cirugia limit y personal delaware cuidado agent y amiable', 'en', 'en mi', 'en mi cirugia', 'en mi cirugia limit', 'en mi cirugia limit y', 'en mi cirugia limit y personal', 'en mi cirugia limit y personal delaware', 'en mi cirugia limit y personal delaware cuidado', 'en mi cirugia limit y personal delaware cuidado agent', 'en mi cirugia limit y personal delaware cuidado agent y', 'en mi cirugia limit y personal delaware cuidado agent y amiable', 'mi', 'mi cirugia', 'mi cirugia limit', 'mi cirugia limit y', 'mi cirugia limit y personal', 'mi cirugia limit y personal delaware', 'mi cirugia limit y personal delaware cuidado', 'mi cirugia limit y personal delaware cuidado agent', 'mi cirugia limit y personal delaware cuidado agent y', 'mi cirugia limit y personal delaware cuidado agent y amiable', 'cirugia', 'cirugia limit', 'cirugia limit y', 'cirugia limit y personal', 'cirugia limit y personal delaware', 'cirugia limit y personal delaware cuidado', 'cirugia limit y personal delaware cuidado agent', 'cirugia limit y personal delaware cuidado agent y', 'cirugia limit y personal delaware cuidado agent y amiable', 'limit', 'limit y', 'limit y personal', 'limit y personal delaware', 'limit y personal delaware cuidado', 'limit y personal delaware cuidado agent', 'limit y personal delaware cuidado agent y', 'limit y personal delaware cuidado agent y amiable', 'y', 'y personal', 'y personal delaware', 'y personal delaware cuidado', 'y personal delaware cuidado agent', 'y personal delaware cuidado agent y', 'y personal delaware cuidado agent y amiable', 'personal', 'personal delaware', 'personal delaware cuidado', 'personal delaware cuidado agent', 'personal delaware cuidado agent y', 'personal delaware cuidado agent y amiable', 'delaware', 'delaware cuidado', 'delaware cuidado agent', 'delaware cuidado agent y', 'delaware cuidado agent y amiable', 'cuidado', 'cuidado agent', 'cuidado agent y', 'cuidado agent y amiable', 'agent', 'agent y', 'agent y amiable', 'y', 'y amiable', 'amiable']",0,0,1,0,0,0.023809523809523808
146608,"But I can say, to whatever Dr he asked and got advise about me to not do surgery is a life savor.",0,ask get advise not surgery life savor,"['ask', 'ask get', 'ask get advise', 'ask get advise not', 'ask get advise not surgery', 'ask get advise not surgery life', 'ask get advise not surgery life savor', 'get', 'get advise', 'get advise not', 'get advise not surgery', 'get advise not surgery life', 'get advise not surgery life savor', 'advise', 'advise not', 'advise not surgery', 'advise not surgery life', 'advise not surgery life savor', 'not', 'not surgery', 'not surgery life', 'not surgery life savor', 'surgery', 'surgery life', 'surgery life savor', 'life', 'life savor', 'savor']",0,0,0,0,1,0.058823529411764705
87123,He has given me my life without continual pain back.,0,give life continual pain,"['give', 'give life', 'give life continual', 'give life continual pain', 'life', 'life continual', 'life continual pain', 'continual', 'continual pain', 'pain']",0,0,0,0,1,0.125
129152,"If you're looking for a very professional, knowledgeable, personable, caring, funny doctor to put your trust in, look no further.",0,look professional knowledgeable personal dare funny trust look no,"['look', 'look professional', 'look professional knowledgeable', 'look professional knowledgeable personal', 'look professional knowledgeable personal dare', 'look professional knowledgeable personal dare funny', 'look professional knowledgeable personal dare funny trust', 'look professional knowledgeable personal dare funny trust look', 'look professional knowledgeable personal dare funny trust look no', 'professional', 'professional knowledgeable', 'professional knowledgeable personal', 'professional knowledgeable personal dare', 'professional knowledgeable personal dare funny', 'professional knowledgeable personal dare funny trust', 'professional knowledgeable personal dare funny trust look', 'professional knowledgeable personal dare funny trust look no', 'knowledgeable', 'knowledgeable personal', 'knowledgeable personal dare', 'knowledgeable personal dare funny', 'knowledgeable personal dare funny trust', 'knowledgeable personal dare funny trust look', 'knowledgeable personal dare funny trust look no', 'personal', 'personal dare', 'personal dare funny', 'personal dare funny trust', 'personal dare funny trust look', 'personal dare funny trust look no', 'dare', 'dare funny', 'dare funny trust', 'dare funny trust look', 'dare funny trust look no', 'funny', 'funny trust', 'funny trust look', 'funny trust look no', 'trust', 'trust look', 'trust look no', 'look', 'look no', 'no']",0,0,1,0,0,0.0392156862745098
140582,"and she tried to reach out to me, i am satisfied with the care i received from all the staff I interacted with.",0,try reach satisfy care receive staff interest,"['try', 'try reach', 'try reach satisfy', 'try reach satisfy care', 'try reach satisfy care receive', 'try reach satisfy care receive staff', 'try reach satisfy care receive staff interest', 'reach', 'reach satisfy', 'reach satisfy care', 'reach satisfy care receive', 'reach satisfy care receive staff', 'reach satisfy care receive staff interest', 'satisfy', 'satisfy care', 'satisfy care receive', 'satisfy care receive staff', 'satisfy care receive staff interest', 'care', 'care receive', 'care receive staff', 'care receive staff interest', 'receive', 'receive staff', 'receive staff interest', 'staff', 'staff interest', 'interest']",1,0,0,0,0,0.058823529411764705
92474,He didn't just give me my life back he made my life better.,0,life life good,"['life', 'life life', 'life life good', 'life', 'life good', 'good']",0,0,0,0,1,0.16666666666666666
146550,but not personable enough to make me want to choose her for any future appointments.,1,not personal want choose future appointment,"['not', 'not personal', 'not personal want', 'not personal want choose', 'not personal want choose future', 'not personal want choose future appointment', 'personal', 'personal want', 'personal want choose', 'personal want choose future', 'personal want choose future appointment', 'want', 'want choose', 'want choose future', 'want choose future appointment', 'choose', 'choose future', 'choose future appointment', 'future', 'future appointment', 'appointment']",0,0,1,0,0,0.07407407407407407
145984,He comes in the room with a small case of toys to interest them while he talks to the parents.,0,come room small case toy interest talk parent,"['come', 'come room', 'come room small', 'come room small case', 'come room small case toy', 'come room small case toy interest', 'come room small case toy interest talk', 'come room small case toy interest talk parent', 'room', 'room small', 'room small case', 'room small case toy', 'room small case toy interest', 'room small case toy interest talk', 'room small case toy interest talk parent', 'small', 'small case', 'small case toy', 'small case toy interest', 'small case toy interest talk', 'small case toy interest talk parent', 'case', 'case toy', 'case toy interest', 'case toy interest talk', 'case toy interest talk parent', 'toy', 'toy interest', 'toy interest talk', 'toy interest talk parent', 'interest', 'interest talk', 'interest talk parent', 'talk', 'talk parent', 'parent']",1,0,0,0,0,0.047619047619047616
87229,I told them I was not interested,1,tell not interest,"['tell', 'tell not', 'tell not interest', 'not', 'not interest', 'interest']",1,0,0,0,0,0.16666666666666666
129021,"Indebted for life, T.",0,indebted life t,"['indebted', 'indebted life', 'indebted life t', 'life', 'life t', 't']",0,0,0,0,1,0.16666666666666666
165613,"Dr. Deuk is not only very personable,",1,not personal,"['not', 'not personal', 'personal']",0,0,1,0,0,0.2222222222222222
62569,She seemed interested,0,interest,['interest'],1,0,0,0,0,0.2857142857142857
101790,Very personable and made me feel very comfortable!,0,personal feel comfortable,"['personal', 'personal feel', 'personal feel comfortable', 'feel', 'feel comfortable', 'comfortable']",0,0,1,0,0,0.16666666666666666
119978,Many years ago I underwent a rhinoplasty which left me with a crooked nose :( I didn?t want to go under the nife again,1,undergo nose job leave crooked nose want life,"['undergo', 'undergo nose', 'undergo nose job', 'undergo nose job leave', 'undergo nose job leave crooked', 'undergo nose job leave crooked nose', 'undergo nose job leave crooked nose want', 'undergo nose job leave crooked nose want life', 'nose', 'nose job', 'nose job leave', 'nose job leave crooked', 'nose job leave crooked nose', 'nose job leave crooked nose want', 'nose job leave crooked nose want life', 'job', 'job leave', 'job leave crooked', 'job leave crooked nose', 'job leave crooked nose want', 'job leave crooked nose want life', 'leave', 'leave crooked', 'leave crooked nose', 'leave crooked nose want', 'leave crooked nose want life', 'crooked', 'crooked nose', 'crooked nose want', 'crooked nose want life', 'nose', 'nose want', 'nose want life', 'want', 'want life', 'life']",0,0,0,0,1,0.047619047619047616
103338,Amanda Schultz makes me feel so comfortable and the nurse Kim is so personable!,0,mania schurz make feel comfortable nurse personal,"['mania', 'mania schurz', 'mania schurz make', 'mania schurz make feel', 'mania schurz make feel comfortable', 'mania schurz make feel comfortable nurse', 'mania schurz make feel comfortable nurse personal', 'schurz', 'schurz make', 'schurz make feel', 'schurz make feel comfortable', 'schurz make feel comfortable nurse', 'schurz make feel comfortable nurse personal', 'make', 'make feel', 'make feel comfortable', 'make feel comfortable nurse', 'make feel comfortable nurse personal', 'feel', 'feel comfortable', 'feel comfortable nurse', 'feel comfortable nurse personal', 'comfortable', 'comfortable nurse', 'comfortable nurse personal', 'nurse', 'nurse personal', 'personal']",0,0,1,0,0,0.058823529411764705
96077,and knowledgeable not to mention very personable.,0,knowledgeable not mention personal,"['knowledgeable', 'knowledgeable not', 'knowledgeable not mention', 'knowledgeable not mention personal', 'not', 'not mention', 'not mention personal', 'mention', 'mention personal', 'personal']",0,0,1,0,0,0.125
69478,My life was changed forever the day I walked in to Dr..Langdon's office.,0,life change forever walk drlangdons office,"['life', 'life change', 'life change forever', 'life change forever walk', 'life change forever walk drlangdons', 'life change forever walk drlangdons office', 'change', 'change forever', 'change forever walk', 'change forever walk drlangdons', 'change forever walk drlangdons office', 'forever', 'forever walk', 'forever walk drlangdons', 'forever walk drlangdons office', 'walk', 'walk drlangdons', 'walk drlangdons office', 'drlangdons', 'drlangdons office', 'office']",0,0,0,0,1,0.07407407407407407
163475,"My hygienist K"" was very professional, skilled, and showed excellent personal interest.",0,hygienic k professional skilled show excellent personal interest,"['hygienic', 'hygienic k', 'hygienic k professional', 'hygienic k professional skilled', 'hygienic k professional skilled show', 'hygienic k professional skilled show excellent', 'hygienic k professional skilled show excellent personal', 'hygienic k professional skilled show excellent personal interest', 'k', 'k professional', 'k professional skilled', 'k professional skilled show', 'k professional skilled show excellent', 'k professional skilled show excellent personal', 'k professional skilled show excellent personal interest', 'professional', 'professional skilled', 'professional skilled show', 'professional skilled show excellent', 'professional skilled show excellent personal', 'professional skilled show excellent personal interest', 'skilled', 'skilled show', 'skilled show excellent', 'skilled show excellent personal', 'skilled show excellent personal interest', 'show', 'show excellent', 'show excellent personal', 'show excellent personal interest', 'excellent', 'excellent personal', 'excellent personal interest', 'personal', 'personal interest', 'interest']",1,0,1,0,0,0.09523809523809523
86236,My life has turned around because of this surgery.,0,life turn surgery,"['life', 'life turn', 'life turn surgery', 'turn', 'turn surgery', 'surgery']",0,0,0,0,1,0.16666666666666666
113781,Dr. Robinson was very personable,0,personal,['personal'],0,0,1,0,0,0.2857142857142857
100726,"The doctor was professional and yet very down to earth, and personable.",0,professional earth personal,"['professional', 'professional earth', 'professional earth personal', 'earth', 'earth personal', 'personal']",0,0,1,0,0,0.16666666666666666
125434,"Front office super friendly, compassionate and personable.",0,office super friendly compassionate personal,"['office', 'office super', 'office super friendly', 'office super friendly compassionate', 'office super friendly compassionate personal', 'super', 'super friendly', 'super friendly compassionate', 'super friendly compassionate personal', 'friendly', 'friendly compassionate', 'friendly compassionate personal', 'compassionate', 'compassionate personal', 'personal']",0,0,1,0,0,0.09523809523809523
60639,"I think he's truly interested in my health,",0,think truly interest health,"['think', 'think truly', 'think truly interest', 'think truly interest health', 'truly', 'truly interest', 'truly interest health', 'interest', 'interest health', 'health']",1,0,0,0,0,0.125
88002,"Puig is infamous, he is someone who has left a trail of broken lives in his wake from his disfiguring surgeries.",1,pig ill-famed leave trail break life wake deface forgery,"['pig', 'pig ill-famed', 'pig ill-famed leave', 'pig ill-famed leave trail', 'pig ill-famed leave trail break', 'pig ill-famed leave trail break life', 'pig ill-famed leave trail break life wake', 'pig ill-famed leave trail break life wake deface', 'pig ill-famed leave trail break life wake deface forgery', 'ill-famed', 'ill-famed leave', 'ill-famed leave trail', 'ill-famed leave trail break', 'ill-famed leave trail break life', 'ill-famed leave trail break life wake', 'ill-famed leave trail break life wake deface', 'ill-famed leave trail break life wake deface forgery', 'leave', 'leave trail', 'leave trail break', 'leave trail break life', 'leave trail break life wake', 'leave trail break life wake deface', 'leave trail break life wake deface forgery', 'trail', 'trail break', 'trail break life', 'trail break life wake', 'trail break life wake deface', 'trail break life wake deface forgery', 'break', 'break life', 'break life wake', 'break life wake deface', 'break life wake deface forgery', 'life', 'life wake', 'life wake deface', 'life wake deface forgery', 'wake', 'wake deface', 'wake deface forgery', 'deface', 'deface forgery', 'forgery']",0,0,0,0,1,0.0392156862745098
169745,I never had a deviated septum in my life and after he did my surgery,1,deviate septum life surgery,"['deviate', 'deviate septum', 'deviate septum life', 'deviate septum life surgery', 'septum', 'septum life', 'septum life surgery', 'life', 'life surgery', 'surgery']",0,0,0,0,1,0.125
75565,"for a place to help me improve my body, my health and my life and I'm sure I found it.",0,place help better body health life sure find,"['place', 'place help', 'place help better', 'place help better body', 'place help better body health', 'place help better body health life', 'place help better body health life sure', 'place help better body health life sure find', 'help', 'help better', 'help better body', 'help better body health', 'help better body health life', 'help better body health life sure', 'help better body health life sure find', 'better', 'better body', 'better body health', 'better body health life', 'better body health life sure', 'better body health life sure find', 'body', 'body health', 'body health life', 'body health life sure', 'body health life sure find', 'health', 'health life', 'health life sure', 'health life sure find', 'life', 'life sure', 'life sure find', 'sure', 'sure find', 'find']",0,0,0,0,1,0.047619047619047616
129103,Dr Croft is personable and communicates well.,0,personal communicate,"['personal', 'personal communicate', 'communicate']",0,0,1,0,0,0.2222222222222222
90207,it's been a life saving experience,0,life save experience,"['life', 'life save', 'life save experience', 'save', 'save experience', 'experience']",0,0,0,0,1,0.16666666666666666
89795,for sure lives up to unprofessional status.,1,sure life professional status,"['sure', 'sure life', 'sure life professional', 'sure life professional status', 'life', 'life professional', 'life professional status', 'professional', 'professional status', 'status']",0,0,0,0,1,0.125
63441,"She's very well aware of my condition, antics, personal interests.",0,aware condition antic personal interest,"['aware', 'aware condition', 'aware condition antic', 'aware condition antic personal', 'aware condition antic personal interest', 'condition', 'condition antic', 'condition antic personal', 'condition antic personal interest', 'antic', 'antic personal', 'antic personal interest', 'personal', 'personal interest', 'interest']",1,0,1,0,0,0.19047619047619047
145189,You may also be asked to pay a ransom or you get your personal information posted online.,1,ask pay ransom personal information post on-line,"['ask', 'ask pay', 'ask pay ransom', 'ask pay ransom personal', 'ask pay ransom personal information', 'ask pay ransom personal information post', 'ask pay ransom personal information post on-line', 'pay', 'pay ransom', 'pay ransom personal', 'pay ransom personal information', 'pay ransom personal information post', 'pay ransom personal information post on-line', 'ransom', 'ransom personal', 'ransom personal information', 'ransom personal information post', 'ransom personal information post on-line', 'personal', 'personal information', 'personal information post', 'personal information post on-line', 'information', 'information post', 'information post on-line', 'post', 'post on-line', 'on-line']",0,0,1,0,0,0.058823529411764705
111796,STAY AWAY BEFORE YOU WASTE TIME AND MONEY AND YOUR LIFE.,1,stay away waste time money life,"['stay', 'stay away', 'stay away waste', 'stay away waste time', 'stay away waste time money', 'stay away waste time money life', 'away', 'away waste', 'away waste time', 'away waste time money', 'away waste time money life', 'waste', 'waste time', 'waste time money', 'waste time money life', 'time', 'time money', 'time money life', 'money', 'money life', 'life']",0,0,0,0,1,0.07407407407407407
105715,"Who would imagine a healthy, happy, active person ending up a life from a scam medical procedure?",1,imagine healthy happy active person end life scar medical procedure,"['imagine', 'imagine healthy', 'imagine healthy happy', 'imagine healthy happy active', 'imagine healthy happy active person', 'imagine healthy happy active person end', 'imagine healthy happy active person end life', 'imagine healthy happy active person end life scar', 'imagine healthy happy active person end life scar medical', 'imagine healthy happy active person end life scar medical procedure', 'healthy', 'healthy happy', 'healthy happy active', 'healthy happy active person', 'healthy happy active person end', 'healthy happy active person end life', 'healthy happy active person end life scar', 'healthy happy active person end life scar medical', 'healthy happy active person end life scar medical procedure', 'happy', 'happy active', 'happy active person', 'happy active person end', 'happy active person end life', 'happy active person end life scar', 'happy active person end life scar medical', 'happy active person end life scar medical procedure', 'active', 'active person', 'active person end', 'active person end life', 'active person end life scar', 'active person end life scar medical', 'active person end life scar medical procedure', 'person', 'person end', 'person end life', 'person end life scar', 'person end life scar medical', 'person end life scar medical procedure', 'end', 'end life', 'end life scar', 'end life scar medical', 'end life scar medical procedure', 'life', 'life scar', 'life scar medical', 'life scar medical procedure', 'scar', 'scar medical', 'scar medical procedure', 'medical', 'medical procedure', 'procedure']",0,0,0,0,1,0.03278688524590164
62793,"He is very personable, he listens and he asks me questions.",0,personal listen ask question,"['personal', 'personal listen', 'personal listen ask', 'personal listen ask question', 'listen', 'listen ask', 'listen ask question', 'ask', 'ask question', 'question']",0,0,1,0,0,0.125
102054,Very personable and easy to talk to.,0,personal easy talk,"['personal', 'personal easy', 'personal easy talk', 'easy', 'easy talk', 'talk']",0,0,1,0,0,0.16666666666666666
97981,I most pleased with Dr.Boon's personal updates via cellular phone.,0,please dragoon personal update cellular phone,"['please', 'please dragoon', 'please dragoon personal', 'please dragoon personal update', 'please dragoon personal update cellular', 'please dragoon personal update cellular phone', 'dragoon', 'dragoon personal', 'dragoon personal update', 'dragoon personal update cellular', 'dragoon personal update cellular phone', 'personal', 'personal update', 'personal update cellular', 'personal update cellular phone', 'update', 'update cellular', 'update cellular phone', 'cellular', 'cellular phone', 'phone']",0,0,1,0,0,0.07407407407407407
167933,"There was not a lot of interest in figuring out my issue after that, just over the counter suggestions, then ""goodbye""",1,not lot interest fire issue counter suggestion adieu,"['not', 'not lot', 'not lot interest', 'not lot interest fire', 'not lot interest fire issue', 'not lot interest fire issue counter', 'not lot interest fire issue counter suggestion', 'not lot interest fire issue counter suggestion adieu', 'lot', 'lot interest', 'lot interest fire', 'lot interest fire issue', 'lot interest fire issue counter', 'lot interest fire issue counter suggestion', 'lot interest fire issue counter suggestion adieu', 'interest', 'interest fire', 'interest fire issue', 'interest fire issue counter', 'interest fire issue counter suggestion', 'interest fire issue counter suggestion adieu', 'fire', 'fire issue', 'fire issue counter', 'fire issue counter suggestion', 'fire issue counter suggestion adieu', 'issue', 'issue counter', 'issue counter suggestion', 'issue counter suggestion adieu', 'counter', 'counter suggestion', 'counter suggestion adieu', 'suggestion', 'suggestion adieu', 'adieu']",1,0,0,0,0,0.047619047619047616
65836,I feel as if she is saving my life.,0,feel save life,"['feel', 'feel save', 'feel save life', 'save', 'save life', 'life']",0,0,0,0,1,0.16666666666666666
61083,I thought he was extremely personable.,0,think extremely personal,"['think', 'think extremely', 'think extremely personal', 'extremely', 'extremely personal', 'personal']",0,0,1,0,0,0.16666666666666666
76954,Very personable and friendly.,0,personal friendly,"['personal', 'personal friendly', 'friendly']",0,0,1,0,0,0.2222222222222222
156014,The doctor in not interested in resolving the issue.,1,not interest resolve issue,"['not', 'not interest', 'not interest resolve', 'not interest resolve issue', 'interest', 'interest resolve', 'interest resolve issue', 'resolve', 'resolve issue', 'issue']",1,0,0,0,0,0.125
141002,I feel like he added some years back into my life.,0,feel like add year life,"['feel', 'feel like', 'feel like add', 'feel like add year', 'feel like add year life', 'like', 'like add', 'like add year', 'like add year life', 'add', 'add year', 'add year life', 'year', 'year life', 'life']",0,0,0,0,1,0.09523809523809523
89873,I am getting more attention than I have ever had before in my life.,0,get attention life,"['get', 'get attention', 'get attention life', 'attention', 'attention life', 'life']",0,0,0,0,1,0.16666666666666666
65209,The doctor is very personable and caring,0,personal dare,"['personal', 'personal dare', 'dare']",0,0,1,0,0,0.2222222222222222
105327,When the cycle was confirmed to be a failure I got no phone call or personal contact from my own doctor.,1,cycle confirm failure get no phone personal contact,"['cycle', 'cycle confirm', 'cycle confirm failure', 'cycle confirm failure get', 'cycle confirm failure get no', 'cycle confirm failure get no phone', 'cycle confirm failure get no phone personal', 'cycle confirm failure get no phone personal contact', 'confirm', 'confirm failure', 'confirm failure get', 'confirm failure get no', 'confirm failure get no phone', 'confirm failure get no phone personal', 'confirm failure get no phone personal contact', 'failure', 'failure get', 'failure get no', 'failure get no phone', 'failure get no phone personal', 'failure get no phone personal contact', 'get', 'get no', 'get no phone', 'get no phone personal', 'get no phone personal contact', 'no', 'no phone', 'no phone personal', 'no phone personal contact', 'phone', 'phone personal', 'phone personal contact', 'personal', 'personal contact', 'contact']",0,0,1,0,0,0.047619047619047616
105473,Listened to my needs and helped me get the meds I really needed to improve daily life.,0,listen need help bed need better daily life,"['listen', 'listen need', 'listen need help', 'listen need help bed', 'listen need help bed need', 'listen need help bed need better', 'listen need help bed need better daily', 'listen need help bed need better daily life', 'need', 'need help', 'need help bed', 'need help bed need', 'need help bed need better', 'need help bed need better daily', 'need help bed need better daily life', 'help', 'help bed', 'help bed need', 'help bed need better', 'help bed need better daily', 'help bed need better daily life', 'bed', 'bed need', 'bed need better', 'bed need better daily', 'bed need better daily life', 'need', 'need better', 'need better daily', 'need better daily life', 'better', 'better daily', 'better daily life', 'daily', 'daily life', 'life']",0,0,0,0,1,0.047619047619047616
159492,One doesn't find this level of customer service and patient care but once in a life time.,0,find level customer service patient care life time,"['find', 'find level', 'find level customer', 'find level customer service', 'find level customer service patient', 'find level customer service patient care', 'find level customer service patient care life', 'find level customer service patient care life time', 'level', 'level customer', 'level customer service', 'level customer service patient', 'level customer service patient care', 'level customer service patient care life', 'level customer service patient care life time', 'customer', 'customer service', 'customer service patient', 'customer service patient care', 'customer service patient care life', 'customer service patient care life time', 'service', 'service patient', 'service patient care', 'service patient care life', 'service patient care life time', 'patient', 'patient care', 'patient care life', 'patient care life time', 'care', 'care life', 'care life time', 'life', 'life time', 'time']",0,0,0,0,1,0.047619047619047616
