commentId,comment,classification,comment_processed,word_phrase_list,no,no disappointment,disappointment,similarity_score
138181,"No more nausea, vomiting, or being confined to bed as a prisoner of head pain,",0,no nausea vomit confine bed prisoner head pain,"['no', 'no nausea', 'no nausea vomit', 'no nausea vomit confine', 'no nausea vomit confine bed', 'no nausea vomit confine bed prisoner', 'no nausea vomit confine bed prisoner head', 'no nausea vomit confine bed prisoner head pain', 'nausea', 'nausea vomit', 'nausea vomit confine', 'nausea vomit confine bed', 'nausea vomit confine bed prisoner', 'nausea vomit confine bed prisoner head', 'nausea vomit confine bed prisoner head pain', 'vomit', 'vomit confine', 'vomit confine bed', 'vomit confine bed prisoner', 'vomit confine bed prisoner head', 'vomit confine bed prisoner head pain', 'confine', 'confine bed', 'confine bed prisoner', 'confine bed prisoner head', 'confine bed prisoner head pain', 'bed', 'bed prisoner', 'bed prisoner head', 'bed prisoner head pain', 'prisoner', 'prisoner head', 'prisoner head pain', 'head', 'head pain', 'pain']",1,0,0,0.05128205128205128
111209,"Great service, no overselling and no offers to make me look like an alien.",0,great service no overselling no offer look like alien,"['great', 'great service', 'great service no', 'great service no overselling', 'great service no overselling no', 'great service no overselling no offer', 'great service no overselling no offer look', 'great service no overselling no offer look like', 'great service no overselling no offer look like alien', 'service', 'service no', 'service no overselling', 'service no overselling no', 'service no overselling no offer', 'service no overselling no offer look', 'service no overselling no offer look like', 'service no overselling no offer look like alien', 'no', 'no overselling', 'no overselling no', 'no overselling no offer', 'no overselling no offer look', 'no overselling no offer look like', 'no overselling no offer look like alien', 'overselling', 'overselling no', 'overselling no offer', 'overselling no offer look', 'overselling no offer look like', 'overselling no offer look like alien', 'no', 'no offer', 'no offer look', 'no offer look like', 'no offer look like alien', 'offer', 'offer look', 'offer look like', 'offer look like alien', 'look', 'look like', 'look like alien', 'like', 'like alien', 'alien']",1,0,0,0.041666666666666664
97055,Dr. Reichel promised me no risk of a negative outcome,0,promise no risk negative result,"['promise', 'promise no', 'promise no risk', 'promise no risk negative', 'promise no risk negative result', 'no', 'no risk', 'no risk negative', 'no risk negative result', 'risk', 'risk negative', 'risk negative result', 'negative', 'negative result', 'result']",1,0,0,0.1111111111111111
89460,"Unreliable, no medical or work ethics.",1,reliable no medical work ethic,"['reliable', 'reliable no', 'reliable no medical', 'reliable no medical work', 'reliable no medical work ethic', 'no', 'no medical', 'no medical work', 'no medical work ethic', 'medical', 'medical work', 'medical work ethic', 'work', 'work ethic', 'ethic']",1,0,0,0.1111111111111111
147105,and no care was taken to make sure the filler in there was injected appropriately to make them even.,1,no care take sure filler inject appropriately,"['no', 'no care', 'no care take', 'no care take sure', 'no care take sure filler', 'no care take sure filler inject', 'no care take sure filler inject appropriately', 'care', 'care take', 'care take sure', 'care take sure filler', 'care take sure filler inject', 'care take sure filler inject appropriately', 'take', 'take sure', 'take sure filler', 'take sure filler inject', 'take sure filler inject appropriately', 'sure', 'sure filler', 'sure filler inject', 'sure filler inject appropriately', 'filler', 'filler inject', 'filler inject appropriately', 'inject', 'inject appropriately', 'appropriately']",1,0,0,0.06451612903225806
87196,I had no idea how wonderful this could be!!,0,no idea fantastic,"['no', 'no idea', 'no idea fantastic', 'idea', 'idea fantastic', 'fantastic']",1,0,0,0.2222222222222222
180882,First of all bmi is a completely outdated judge of someone's health especially when you have no idea what they look like in person.,1,mi completely outdated judge health especially no idea look like person,"['mi', 'mi completely', 'mi completely outdated', 'mi completely outdated judge', 'mi completely outdated judge health', 'mi completely outdated judge health especially', 'mi completely outdated judge health especially no', 'mi completely outdated judge health especially no idea', 'mi completely outdated judge health especially no idea look', 'mi completely outdated judge health especially no idea look like', 'mi completely outdated judge health especially no idea look like person', 'completely', 'completely outdated', 'completely outdated judge', 'completely outdated judge health', 'completely outdated judge health especially', 'completely outdated judge health especially no', 'completely outdated judge health especially no idea', 'completely outdated judge health especially no idea look', 'completely outdated judge health especially no idea look like', 'completely outdated judge health especially no idea look like person', 'outdated', 'outdated judge', 'outdated judge health', 'outdated judge health especially', 'outdated judge health especially no', 'outdated judge health especially no idea', 'outdated judge health especially no idea look', 'outdated judge health especially no idea look like', 'outdated judge health especially no idea look like person', 'judge', 'judge health', 'judge health especially', 'judge health especially no', 'judge health especially no idea', 'judge health especially no idea look', 'judge health especially no idea look like', 'judge health especially no idea look like person', 'health', 'health especially', 'health especially no', 'health especially no idea', 'health especially no idea look', 'health especially no idea look like', 'health especially no idea look like person', 'especially', 'especially no', 'especially no idea', 'especially no idea look', 'especially no idea look like', 'especially no idea look like person', 'no', 'no idea', 'no idea look', 'no idea look like', 'no idea look like person', 'idea', 'idea look', 'idea look like', 'idea look like person', 'look', 'look like', 'look like person', 'like', 'like person', 'person']",1,0,0,0.028985507246376812
115617,No one should work with this doctor ever.,1,no work,"['no', 'no work', 'work']",1,0,0,0.3333333333333333
126409,I have had no pain and no crusting like the first place.,0,no pain no crush like place,"['no', 'no pain', 'no pain no', 'no pain no crush', 'no pain no crush like', 'no pain no crush like place', 'pain', 'pain no', 'pain no crush', 'pain no crush like', 'pain no crush like place', 'no', 'no crush', 'no crush like', 'no crush like place', 'crush', 'crush like', 'crush like place', 'like', 'like place', 'place']",1,0,0,0.08333333333333333
140581,"and the receptionist needs major help as there was no smile, not warm, just handed me the same paperwork to",1,reception need major help no smile not warm hand paperwork,"['reception', 'reception need', 'reception need major', 'reception need major help', 'reception need major help no', 'reception need major help no smile', 'reception need major help no smile not', 'reception need major help no smile not warm', 'reception need major help no smile not warm hand', 'reception need major help no smile not warm hand paperwork', 'need', 'need major', 'need major help', 'need major help no', 'need major help no smile', 'need major help no smile not', 'need major help no smile not warm', 'need major help no smile not warm hand', 'need major help no smile not warm hand paperwork', 'major', 'major help', 'major help no', 'major help no smile', 'major help no smile not', 'major help no smile not warm', 'major help no smile not warm hand', 'major help no smile not warm hand paperwork', 'help', 'help no', 'help no smile', 'help no smile not', 'help no smile not warm', 'help no smile not warm hand', 'help no smile not warm hand paperwork', 'no', 'no smile', 'no smile not', 'no smile not warm', 'no smile not warm hand', 'no smile not warm hand paperwork', 'smile', 'smile not', 'smile not warm', 'smile not warm hand', 'smile not warm hand paperwork', 'not', 'not warm', 'not warm hand', 'not warm hand paperwork', 'warm', 'warm hand', 'warm hand paperwork', 'hand', 'hand paperwork', 'paperwork']",1,0,0,0.034482758620689655
129152,"If you're looking for a very professional, knowledgeable, personable, caring, funny doctor to put your trust in, look no further.",0,look professional knowledgeable personal dare funny trust look no,"['look', 'look professional', 'look professional knowledgeable', 'look professional knowledgeable personal', 'look professional knowledgeable personal dare', 'look professional knowledgeable personal dare funny', 'look professional knowledgeable personal dare funny trust', 'look professional knowledgeable personal dare funny trust look', 'look professional knowledgeable personal dare funny trust look no', 'professional', 'professional knowledgeable', 'professional knowledgeable personal', 'professional knowledgeable personal dare', 'professional knowledgeable personal dare funny', 'professional knowledgeable personal dare funny trust', 'professional knowledgeable personal dare funny trust look', 'professional knowledgeable personal dare funny trust look no', 'knowledgeable', 'knowledgeable personal', 'knowledgeable personal dare', 'knowledgeable personal dare funny', 'knowledgeable personal dare funny trust', 'knowledgeable personal dare funny trust look', 'knowledgeable personal dare funny trust look no', 'personal', 'personal dare', 'personal dare funny', 'personal dare funny trust', 'personal dare funny trust look', 'personal dare funny trust look no', 'dare', 'dare funny', 'dare funny trust', 'dare funny trust look', 'dare funny trust look no', 'funny', 'funny trust', 'funny trust look', 'funny trust look no', 'trust', 'trust look', 'trust look no', 'look', 'look no', 'no']",1,0,0,0.041666666666666664
185577,"No matter how many times I called with queries, all the nurses answered and assisted patiently.",0,no matter time call question nurse answer assist patiently,"['no', 'no matter', 'no matter time', 'no matter time call', 'no matter time call question', 'no matter time call question nurse', 'no matter time call question nurse answer', 'no matter time call question nurse answer assist', 'no matter time call question nurse answer assist patiently', 'matter', 'matter time', 'matter time call', 'matter time call question', 'matter time call question nurse', 'matter time call question nurse answer', 'matter time call question nurse answer assist', 'matter time call question nurse answer assist patiently', 'time', 'time call', 'time call question', 'time call question nurse', 'time call question nurse answer', 'time call question nurse answer assist', 'time call question nurse answer assist patiently', 'call', 'call question', 'call question nurse', 'call question nurse answer', 'call question nurse answer assist', 'call question nurse answer assist patiently', 'question', 'question nurse', 'question nurse answer', 'question nurse answer assist', 'question nurse answer assist patiently', 'nurse', 'nurse answer', 'nurse answer assist', 'nurse answer assist patiently', 'answer', 'answer assist', 'answer assist patiently', 'assist', 'assist patiently', 'patiently']",1,0,0,0.041666666666666664
170152,However it takes weeks of calling just to reach someone and no one ever calls you back.,1,take call reach no call,"['take', 'take call', 'take call reach', 'take call reach no', 'take call reach no call', 'call', 'call reach', 'call reach no', 'call reach no call', 'reach', 'reach no', 'reach no call', 'no', 'no call', 'call']",1,0,0,0.1111111111111111
160594,Now I can say my waist is SNATCHED And I no longer have back rolls lol,0,waist snatch no long roll,"['waist', 'waist snatch', 'waist snatch no', 'waist snatch no long', 'waist snatch no long roll', 'snatch', 'snatch no', 'snatch no long', 'snatch no long roll', 'no', 'no long', 'no long roll', 'long', 'long roll', 'roll']",1,0,0,0.1111111111111111
185504,"If I need anymore surgeries, there is no question that I would do all future surgeries with him.",0,need anymore forgery no question future forgery,"['need', 'need anymore', 'need anymore forgery', 'need anymore forgery no', 'need anymore forgery no question', 'need anymore forgery no question future', 'need anymore forgery no question future forgery', 'anymore', 'anymore forgery', 'anymore forgery no', 'anymore forgery no question', 'anymore forgery no question future', 'anymore forgery no question future forgery', 'forgery', 'forgery no', 'forgery no question', 'forgery no question future', 'forgery no question future forgery', 'no', 'no question', 'no question future', 'no question future forgery', 'question', 'question future', 'question future forgery', 'future', 'future forgery', 'forgery']",1,0,0,0.06451612903225806
112293,My daughter got her nose job at the beginning of winter break and was able to return to school with no bruises.,0,daughter get nose job break able return school no bruise,"['daughter', 'daughter get', 'daughter get nose', 'daughter get nose job', 'daughter get nose job break', 'daughter get nose job break able', 'daughter get nose job break able return', 'daughter get nose job break able return school', 'daughter get nose job break able return school no', 'daughter get nose job break able return school no bruise', 'get', 'get nose', 'get nose job', 'get nose job break', 'get nose job break able', 'get nose job break able return', 'get nose job break able return school', 'get nose job break able return school no', 'get nose job break able return school no bruise', 'nose', 'nose job', 'nose job break', 'nose job break able', 'nose job break able return', 'nose job break able return school', 'nose job break able return school no', 'nose job break able return school no bruise', 'job', 'job break', 'job break able', 'job break able return', 'job break able return school', 'job break able return school no', 'job break able return school no bruise', 'break', 'break able', 'break able return', 'break able return school', 'break able return school no', 'break able return school no bruise', 'able', 'able return', 'able return school', 'able return school no', 'able return school no bruise', 'return', 'return school', 'return school no', 'return school no bruise', 'school', 'school no', 'school no bruise', 'no', 'no bruise', 'bruise']",1,0,0,0.034482758620689655
111987,No one can tell that I got a breast augmentation even though they are DD.,0,no tell get breast pigmentation,"['no', 'no tell', 'no tell get', 'no tell get breast', 'no tell get breast pigmentation', 'tell', 'tell get', 'tell get breast', 'tell get breast pigmentation', 'get', 'get breast', 'get breast pigmentation', 'breast', 'breast pigmentation', 'pigmentation']",1,0,0,0.1111111111111111
184747,"lo único que no me gustó fue la espera para ser atendida, se me hizo muy larga la espera.",1,que no gust opera para atendida selenium lanthanum opera,"['que', 'que no', 'que no gust', 'que no gust opera', 'que no gust opera para', 'que no gust opera para atendida', 'que no gust opera para atendida selenium', 'que no gust opera para atendida selenium lanthanum', 'que no gust opera para atendida selenium lanthanum opera', 'no', 'no gust', 'no gust opera', 'no gust opera para', 'no gust opera para atendida', 'no gust opera para atendida selenium', 'no gust opera para atendida selenium lanthanum', 'no gust opera para atendida selenium lanthanum opera', 'gust', 'gust opera', 'gust opera para', 'gust opera para atendida', 'gust opera para atendida selenium', 'gust opera para atendida selenium lanthanum', 'gust opera para atendida selenium lanthanum opera', 'opera', 'opera para', 'opera para atendida', 'opera para atendida selenium', 'opera para atendida selenium lanthanum', 'opera para atendida selenium lanthanum opera', 'para', 'para atendida', 'para atendida selenium', 'para atendida selenium lanthanum', 'para atendida selenium lanthanum opera', 'atendida', 'atendida selenium', 'atendida selenium lanthanum', 'atendida selenium lanthanum opera', 'selenium', 'selenium lanthanum', 'selenium lanthanum opera', 'lanthanum', 'lanthanum opera', 'opera']",1,0,0,0.041666666666666664
153095,"There was no pain, and still isn't.",0,no pain,"['no', 'no pain', 'pain']",1,0,0,0.3333333333333333
111645,and I still have no restrictions and no pain.,0,no restriction no pain,"['no', 'no restriction', 'no restriction no', 'no restriction no pain', 'restriction', 'restriction no', 'restriction no pain', 'no', 'no pain', 'pain']",1,0,0,0.15384615384615385
135310,"Ever since I got my nose done, I no longer get asked on my ethnicity",0,get nose no long ask ethnicity,"['get', 'get nose', 'get nose no', 'get nose no long', 'get nose no long ask', 'get nose no long ask ethnicity', 'nose', 'nose no', 'nose no long', 'nose no long ask', 'nose no long ask ethnicity', 'no', 'no long', 'no long ask', 'no long ask ethnicity', 'long', 'long ask', 'long ask ethnicity', 'ask', 'ask ethnicity', 'ethnicity']",1,0,0,0.08333333333333333
167056,"Now I know everyone has a hiccup here and there but for me no hiccups, it's been smooth sailing all the way.",0,know hiccup no hiccup smooth sailing way,"['know', 'know hiccup', 'know hiccup no', 'know hiccup no hiccup', 'know hiccup no hiccup smooth', 'know hiccup no hiccup smooth sailing', 'know hiccup no hiccup smooth sailing way', 'hiccup', 'hiccup no', 'hiccup no hiccup', 'hiccup no hiccup smooth', 'hiccup no hiccup smooth sailing', 'hiccup no hiccup smooth sailing way', 'no', 'no hiccup', 'no hiccup smooth', 'no hiccup smooth sailing', 'no hiccup smooth sailing way', 'hiccup', 'hiccup smooth', 'hiccup smooth sailing', 'hiccup smooth sailing way', 'smooth', 'smooth sailing', 'smooth sailing way', 'sailing', 'sailing way', 'way']",1,0,0,0.06451612903225806
167764,"I needed some corrective work on my eyelids that had drooped over my eyelashes , and it went smoothly , no pain, and wonderful results.",0,need corrective work eyelid droop eyelash go smoothly no pain fantastic result,"['need', 'need corrective', 'need corrective work', 'need corrective work eyelid', 'need corrective work eyelid droop', 'need corrective work eyelid droop eyelash', 'need corrective work eyelid droop eyelash go', 'need corrective work eyelid droop eyelash go smoothly', 'need corrective work eyelid droop eyelash go smoothly no', 'need corrective work eyelid droop eyelash go smoothly no pain', 'need corrective work eyelid droop eyelash go smoothly no pain fantastic', 'need corrective work eyelid droop eyelash go smoothly no pain fantastic result', 'corrective', 'corrective work', 'corrective work eyelid', 'corrective work eyelid droop', 'corrective work eyelid droop eyelash', 'corrective work eyelid droop eyelash go', 'corrective work eyelid droop eyelash go smoothly', 'corrective work eyelid droop eyelash go smoothly no', 'corrective work eyelid droop eyelash go smoothly no pain', 'corrective work eyelid droop eyelash go smoothly no pain fantastic', 'corrective work eyelid droop eyelash go smoothly no pain fantastic result', 'work', 'work eyelid', 'work eyelid droop', 'work eyelid droop eyelash', 'work eyelid droop eyelash go', 'work eyelid droop eyelash go smoothly', 'work eyelid droop eyelash go smoothly no', 'work eyelid droop eyelash go smoothly no pain', 'work eyelid droop eyelash go smoothly no pain fantastic', 'work eyelid droop eyelash go smoothly no pain fantastic result', 'eyelid', 'eyelid droop', 'eyelid droop eyelash', 'eyelid droop eyelash go', 'eyelid droop eyelash go smoothly', 'eyelid droop eyelash go smoothly no', 'eyelid droop eyelash go smoothly no pain', 'eyelid droop eyelash go smoothly no pain fantastic', 'eyelid droop eyelash go smoothly no pain fantastic result', 'droop', 'droop eyelash', 'droop eyelash go', 'droop eyelash go smoothly', 'droop eyelash go smoothly no', 'droop eyelash go smoothly no pain', 'droop eyelash go smoothly no pain fantastic', 'droop eyelash go smoothly no pain fantastic result', 'eyelash', 'eyelash go', 'eyelash go smoothly', 'eyelash go smoothly no', 'eyelash go smoothly no pain', 'eyelash go smoothly no pain fantastic', 'eyelash go smoothly no pain fantastic result', 'go', 'go smoothly', 'go smoothly no', 'go smoothly no pain', 'go smoothly no pain fantastic', 'go smoothly no pain fantastic result', 'smoothly', 'smoothly no', 'smoothly no pain', 'smoothly no pain fantastic', 'smoothly no pain fantastic result', 'no', 'no pain', 'no pain fantastic', 'no pain fantastic result', 'pain', 'pain fantastic', 'pain fantastic result', 'fantastic', 'fantastic result', 'result']",1,0,0,0.024691358024691357
185507,"and I let him , and no difference was made except making the cartilage more damaged and worse .",1,let no difference make cartilage damage bad,"['let', 'let no', 'let no difference', 'let no difference make', 'let no difference make cartilage', 'let no difference make cartilage damage', 'let no difference make cartilage damage bad', 'no', 'no difference', 'no difference make', 'no difference make cartilage', 'no difference make cartilage damage', 'no difference make cartilage damage bad', 'difference', 'difference make', 'difference make cartilage', 'difference make cartilage damage', 'difference make cartilage damage bad', 'make', 'make cartilage', 'make cartilage damage', 'make cartilage damage bad', 'cartilage', 'cartilage damage', 'cartilage damage bad', 'damage', 'damage bad', 'bad']",1,0,0,0.06451612903225806
135324,Everything went great and did the first time in a very long time my hands no longer go to sleep chronically.,0,go great time long time hand no long sleep ironically,"['go', 'go great', 'go great time', 'go great time long', 'go great time long time', 'go great time long time hand', 'go great time long time hand no', 'go great time long time hand no long', 'go great time long time hand no long sleep', 'go great time long time hand no long sleep ironically', 'great', 'great time', 'great time long', 'great time long time', 'great time long time hand', 'great time long time hand no', 'great time long time hand no long', 'great time long time hand no long sleep', 'great time long time hand no long sleep ironically', 'time', 'time long', 'time long time', 'time long time hand', 'time long time hand no', 'time long time hand no long', 'time long time hand no long sleep', 'time long time hand no long sleep ironically', 'long', 'long time', 'long time hand', 'long time hand no', 'long time hand no long', 'long time hand no long sleep', 'long time hand no long sleep ironically', 'time', 'time hand', 'time hand no', 'time hand no long', 'time hand no long sleep', 'time hand no long sleep ironically', 'hand', 'hand no', 'hand no long', 'hand no long sleep', 'hand no long sleep ironically', 'no', 'no long', 'no long sleep', 'no long sleep ironically', 'long', 'long sleep', 'long sleep ironically', 'sleep', 'sleep ironically', 'ironically']",1,0,0,0.034482758620689655
76714,Dr. Frank has no tolerance or temperament to work with children.,1,no tolerable temperament work child,"['no', 'no tolerable', 'no tolerable temperament', 'no tolerable temperament work', 'no tolerable temperament work child', 'tolerable', 'tolerable temperament', 'tolerable temperament work', 'tolerable temperament work child', 'temperament', 'temperament work', 'temperament work child', 'work', 'work child', 'child']",1,0,0,0.1111111111111111
123861,He promised that no one would know that I had surgery and yet everyone knows I had it done.,1,promise no know surgery know,"['promise', 'promise no', 'promise no know', 'promise no know surgery', 'promise no know surgery know', 'no', 'no know', 'no know surgery', 'no know surgery know', 'know', 'know surgery', 'know surgery know', 'surgery', 'surgery know', 'know']",1,0,0,0.1111111111111111
139713,"No pain, Whole staff and Dr. Tye were very helpful through the process, always made sure I was ok. Thank you again!!",0,no pain staff helpful process sure ok thank,"['no', 'no pain', 'no pain staff', 'no pain staff helpful', 'no pain staff helpful process', 'no pain staff helpful process sure', 'no pain staff helpful process sure ok', 'no pain staff helpful process sure ok thank', 'pain', 'pain staff', 'pain staff helpful', 'pain staff helpful process', 'pain staff helpful process sure', 'pain staff helpful process sure ok', 'pain staff helpful process sure ok thank', 'staff', 'staff helpful', 'staff helpful process', 'staff helpful process sure', 'staff helpful process sure ok', 'staff helpful process sure ok thank', 'helpful', 'helpful process', 'helpful process sure', 'helpful process sure ok', 'helpful process sure ok thank', 'process', 'process sure', 'process sure ok', 'process sure ok thank', 'sure', 'sure ok', 'sure ok thank', 'ok', 'ok thank', 'thank']",1,0,0,0.05128205128205128
