commentId,comment,classification,comment_processed,word_phrase_list,possible,expect,outline,similarity_score
149101,"I was extremely nervous as I awaited surgery,",1,extremely nervous expect surgery,"['extremely', 'extremely nervous', 'extremely nervous expect', 'extremely nervous expect surgery', 'nervous', 'nervous expect', 'nervous expect surgery', 'expect', 'expect surgery', 'surgery']",0,1,0,0.125
90583,We had our consultation and it was as great as I expected based off Dr. Gartner's reviews.,0,consultation great expect base dr partner review,"['consultation', 'consultation great', 'consultation great expect', 'consultation great expect base', 'consultation great expect base dr', 'consultation great expect base dr partner', 'consultation great expect base dr partner review', 'great', 'great expect', 'great expect base', 'great expect base dr', 'great expect base dr partner', 'great expect base dr partner review', 'expect', 'expect base', 'expect base dr', 'expect base dr partner', 'expect base dr partner review', 'base', 'base dr', 'base dr partner', 'base dr partner review', 'dr', 'dr partner', 'dr partner review', 'partner', 'partner review', 'review']",0,1,0,0.058823529411764705
148887,and he explained to me beforehand what I should expect for the healing process.,0,explain expect heal process,"['explain', 'explain expect', 'explain expect heal', 'explain expect heal process', 'expect', 'expect heal', 'expect heal process', 'heal', 'heal process', 'process']",0,1,0,0.125
107953,"In fact, her behavior was very unprofessional and not at all what I would expect at a nice medical facility like this.",1,fact behavior professional not expect nice medical facility like,"['fact', 'fact behavior', 'fact behavior professional', 'fact behavior professional not', 'fact behavior professional not expect', 'fact behavior professional not expect nice', 'fact behavior professional not expect nice medical', 'fact behavior professional not expect nice medical facility', 'fact behavior professional not expect nice medical facility like', 'behavior', 'behavior professional', 'behavior professional not', 'behavior professional not expect', 'behavior professional not expect nice', 'behavior professional not expect nice medical', 'behavior professional not expect nice medical facility', 'behavior professional not expect nice medical facility like', 'professional', 'professional not', 'professional not expect', 'professional not expect nice', 'professional not expect nice medical', 'professional not expect nice medical facility', 'professional not expect nice medical facility like', 'not', 'not expect', 'not expect nice', 'not expect nice medical', 'not expect nice medical facility', 'not expect nice medical facility like', 'expect', 'expect nice', 'expect nice medical', 'expect nice medical facility', 'expect nice medical facility like', 'nice', 'nice medical', 'nice medical facility', 'nice medical facility like', 'medical', 'medical facility', 'medical facility like', 'facility', 'facility like', 'like']",0,1,0,0.0392156862745098
100409,"Dr. Shaikh is an excellent physician that truly cares about his patients, and works to provide the most thorough and comprehensive care possible.",0,excellent doctor truly care patient work provide thorough comprehensive care possible,"['excellent', 'excellent doctor', 'excellent doctor truly', 'excellent doctor truly care', 'excellent doctor truly care patient', 'excellent doctor truly care patient work', 'excellent doctor truly care patient work provide', 'excellent doctor truly care patient work provide thorough', 'excellent doctor truly care patient work provide thorough comprehensive', 'excellent doctor truly care patient work provide thorough comprehensive care', 'excellent doctor truly care patient work provide thorough comprehensive care possible', 'doctor', 'doctor truly', 'doctor truly care', 'doctor truly care patient', 'doctor truly care patient work', 'doctor truly care patient work provide', 'doctor truly care patient work provide thorough', 'doctor truly care patient work provide thorough comprehensive', 'doctor truly care patient work provide thorough comprehensive care', 'doctor truly care patient work provide thorough comprehensive care possible', 'truly', 'truly care', 'truly care patient', 'truly care patient work', 'truly care patient work provide', 'truly care patient work provide thorough', 'truly care patient work provide thorough comprehensive', 'truly care patient work provide thorough comprehensive care', 'truly care patient work provide thorough comprehensive care possible', 'care', 'care patient', 'care patient work', 'care patient work provide', 'care patient work provide thorough', 'care patient work provide thorough comprehensive', 'care patient work provide thorough comprehensive care', 'care patient work provide thorough comprehensive care possible', 'patient', 'patient work', 'patient work provide', 'patient work provide thorough', 'patient work provide thorough comprehensive', 'patient work provide thorough comprehensive care', 'patient work provide thorough comprehensive care possible', 'work', 'work provide', 'work provide thorough', 'work provide thorough comprehensive', 'work provide thorough comprehensive care', 'work provide thorough comprehensive care possible', 'provide', 'provide thorough', 'provide thorough comprehensive', 'provide thorough comprehensive care', 'provide thorough comprehensive care possible', 'thorough', 'thorough comprehensive', 'thorough comprehensive care', 'thorough comprehensive care possible', 'comprehensive', 'comprehensive care', 'comprehensive care possible', 'care', 'care possible', 'possible']",1,0,0,0.027777777777777776
173635,Her medical procedures are very sharp addressing all posible complication and avoid them.,0,medical procedure sharp address possible complication avoid,"['medical', 'medical procedure', 'medical procedure sharp', 'medical procedure sharp address', 'medical procedure sharp address possible', 'medical procedure sharp address possible complication', 'medical procedure sharp address possible complication avoid', 'procedure', 'procedure sharp', 'procedure sharp address', 'procedure sharp address possible', 'procedure sharp address possible complication', 'procedure sharp address possible complication avoid', 'sharp', 'sharp address', 'sharp address possible', 'sharp address possible complication', 'sharp address possible complication avoid', 'address', 'address possible', 'address possible complication', 'address possible complication avoid', 'possible', 'possible complication', 'possible complication avoid', 'complication', 'complication avoid', 'avoid']",1,0,0,0.058823529411764705
67831,Everything was far beyond what I ever expected from a surgeon.,0,far expect surgeon,"['far', 'far expect', 'far expect surgeon', 'expect', 'expect surgeon', 'surgeon']",0,1,0,0.16666666666666666
141203,"and the response seems to be along the lines of ""we always tell patients to expect to be here for at least 2 hours"".",1,response line tell patient expect,"['response', 'response line', 'response line tell', 'response line tell patient', 'response line tell patient expect', 'line', 'line tell', 'line tell patient', 'line tell patient expect', 'tell', 'tell patient', 'tell patient expect', 'patient', 'patient expect', 'expect']",0,1,0,0.09523809523809523
82197,and sympathy are not expect to be found there when something goes wrong,1,sympathy not expect find go wrong,"['sympathy', 'sympathy not', 'sympathy not expect', 'sympathy not expect find', 'sympathy not expect find go', 'sympathy not expect find go wrong', 'not', 'not expect', 'not expect find', 'not expect find go', 'not expect find go wrong', 'expect', 'expect find', 'expect find go', 'expect find go wrong', 'find', 'find go', 'find go wrong', 'go', 'go wrong', 'wrong']",0,1,0,0.07407407407407407
147683,My husband and I left every appointment feeling like we had a full understanding of what was going on and what to expect next.,0,husband leave appointment feel like understanding go expect,"['husband', 'husband leave', 'husband leave appointment', 'husband leave appointment feel', 'husband leave appointment feel like', 'husband leave appointment feel like understanding', 'husband leave appointment feel like understanding go', 'husband leave appointment feel like understanding go expect', 'leave', 'leave appointment', 'leave appointment feel', 'leave appointment feel like', 'leave appointment feel like understanding', 'leave appointment feel like understanding go', 'leave appointment feel like understanding go expect', 'appointment', 'appointment feel', 'appointment feel like', 'appointment feel like understanding', 'appointment feel like understanding go', 'appointment feel like understanding go expect', 'feel', 'feel like', 'feel like understanding', 'feel like understanding go', 'feel like understanding go expect', 'like', 'like understanding', 'like understanding go', 'like understanding go expect', 'understanding', 'understanding go', 'understanding go expect', 'go', 'go expect', 'expect']",0,1,0,0.047619047619047616
101095,"The injections didn't hurt one bit, and NO bruising, which I was expecting.",0,injection hurt bit no bruise expect,"['injection', 'injection hurt', 'injection hurt bit', 'injection hurt bit no', 'injection hurt bit no bruise', 'injection hurt bit no bruise expect', 'hurt', 'hurt bit', 'hurt bit no', 'hurt bit no bruise', 'hurt bit no bruise expect', 'bit', 'bit no', 'bit no bruise', 'bit no bruise expect', 'no', 'no bruise', 'no bruise expect', 'bruise', 'bruise expect', 'expect']",0,1,0,0.07407407407407407
184021,"What I didn't expect was the professionalism and adeptness of her staff, from reception staff like Alex (which is too light a term",0,expect professionalism alertness staff reception staff like light term,"['expect', 'expect professionalism', 'expect professionalism alertness', 'expect professionalism alertness staff', 'expect professionalism alertness staff reception', 'expect professionalism alertness staff reception staff', 'expect professionalism alertness staff reception staff like', 'expect professionalism alertness staff reception staff like light', 'expect professionalism alertness staff reception staff like light term', 'professionalism', 'professionalism alertness', 'professionalism alertness staff', 'professionalism alertness staff reception', 'professionalism alertness staff reception staff', 'professionalism alertness staff reception staff like', 'professionalism alertness staff reception staff like light', 'professionalism alertness staff reception staff like light term', 'alertness', 'alertness staff', 'alertness staff reception', 'alertness staff reception staff', 'alertness staff reception staff like', 'alertness staff reception staff like light', 'alertness staff reception staff like light term', 'staff', 'staff reception', 'staff reception staff', 'staff reception staff like', 'staff reception staff like light', 'staff reception staff like light term', 'reception', 'reception staff', 'reception staff like', 'reception staff like light', 'reception staff like light term', 'staff', 'staff like', 'staff like light', 'staff like light term', 'like', 'like light', 'like light term', 'light', 'light term', 'term']",0,1,0,0.0392156862745098
153616,When I walked in it felt like they were all waiting for me so they could leave as quickly as possible.,1,walk feel like wait leave quickly possible,"['walk', 'walk feel', 'walk feel like', 'walk feel like wait', 'walk feel like wait leave', 'walk feel like wait leave quickly', 'walk feel like wait leave quickly possible', 'feel', 'feel like', 'feel like wait', 'feel like wait leave', 'feel like wait leave quickly', 'feel like wait leave quickly possible', 'like', 'like wait', 'like wait leave', 'like wait leave quickly', 'like wait leave quickly possible', 'wait', 'wait leave', 'wait leave quickly', 'wait leave quickly possible', 'leave', 'leave quickly', 'leave quickly possible', 'quickly', 'quickly possible', 'possible']",1,0,0,0.058823529411764705
188350,I was in SEVERE PAIN post op some pain is expected,1,severe pain post op pain expect,"['severe', 'severe pain', 'severe pain post', 'severe pain post op', 'severe pain post op pain', 'severe pain post op pain expect', 'pain', 'pain post', 'pain post op', 'pain post op pain', 'pain post op pain expect', 'post', 'post op', 'post op pain', 'post op pain expect', 'op', 'op pain', 'op pain expect', 'pain', 'pain expect', 'expect']",0,1,0,0.07407407407407407
129912,He came up with a solution my eye doc predicted wouldn't be possible.,0,come solution eye predict possible,"['come', 'come solution', 'come solution eye', 'come solution eye predict', 'come solution eye predict possible', 'solution', 'solution eye', 'solution eye predict', 'solution eye predict possible', 'eye', 'eye predict', 'eye predict possible', 'predict', 'predict possible', 'possible']",1,0,0,0.09523809523809523
170904,My bill is far more than I was expecting.,1,bill far expect,"['bill', 'bill far', 'bill far expect', 'far', 'far expect', 'expect']",0,1,0,0.16666666666666666
101812,this man violated his patient in worst possible way.,1,man violate patient bad possible way,"['man', 'man violate', 'man violate patient', 'man violate patient bad', 'man violate patient bad possible', 'man violate patient bad possible way', 'violate', 'violate patient', 'violate patient bad', 'violate patient bad possible', 'violate patient bad possible way', 'patient', 'patient bad', 'patient bad possible', 'patient bad possible way', 'bad', 'bad possible', 'bad possible way', 'possible', 'possible way', 'way']",1,0,0,0.07407407407407407
169238,Dr. Husni never goes overboard with any injections and makes you look youthful and natural as possible.,0,dr hang go overboard injection make look youthful natural possible,"['dr', 'dr hang', 'dr hang go', 'dr hang go overboard', 'dr hang go overboard injection', 'dr hang go overboard injection make', 'dr hang go overboard injection make look', 'dr hang go overboard injection make look youthful', 'dr hang go overboard injection make look youthful natural', 'dr hang go overboard injection make look youthful natural possible', 'hang', 'hang go', 'hang go overboard', 'hang go overboard injection', 'hang go overboard injection make', 'hang go overboard injection make look', 'hang go overboard injection make look youthful', 'hang go overboard injection make look youthful natural', 'hang go overboard injection make look youthful natural possible', 'go', 'go overboard', 'go overboard injection', 'go overboard injection make', 'go overboard injection make look', 'go overboard injection make look youthful', 'go overboard injection make look youthful natural', 'go overboard injection make look youthful natural possible', 'overboard', 'overboard injection', 'overboard injection make', 'overboard injection make look', 'overboard injection make look youthful', 'overboard injection make look youthful natural', 'overboard injection make look youthful natural possible', 'injection', 'injection make', 'injection make look', 'injection make look youthful', 'injection make look youthful natural', 'injection make look youthful natural possible', 'make', 'make look', 'make look youthful', 'make look youthful natural', 'make look youthful natural possible', 'look', 'look youthful', 'look youthful natural', 'look youthful natural possible', 'youthful', 'youthful natural', 'youthful natural possible', 'natural', 'natural possible', 'possible']",1,0,0,0.03278688524590164
101565,I was very anxious about the procedure and she was kind and thorough in explaining what to expect.,0,anxious procedure kind thorough explain expect,"['anxious', 'anxious procedure', 'anxious procedure kind', 'anxious procedure kind thorough', 'anxious procedure kind thorough explain', 'anxious procedure kind thorough explain expect', 'procedure', 'procedure kind', 'procedure kind thorough', 'procedure kind thorough explain', 'procedure kind thorough explain expect', 'kind', 'kind thorough', 'kind thorough explain', 'kind thorough explain expect', 'thorough', 'thorough explain', 'thorough explain expect', 'explain', 'explain expect', 'expect']",0,1,0,0.07407407407407407
151689,"He and his staff will tell you exactly what to do, what to expect, and check in with you all along the way.",0,staff tell precisely expect check way,"['staff', 'staff tell', 'staff tell precisely', 'staff tell precisely expect', 'staff tell precisely expect check', 'staff tell precisely expect check way', 'tell', 'tell precisely', 'tell precisely expect', 'tell precisely expect check', 'tell precisely expect check way', 'precisely', 'precisely expect', 'precisely expect check', 'precisely expect check way', 'expect', 'expect check', 'expect check way', 'check', 'check way', 'way']",0,1,0,0.07407407407407407
169991,Dr. Robinson's office about some filler to see if it would be possible to minimize or camouflage the damage.,0,office filler possible minimize camouflage damage,"['office', 'office filler', 'office filler possible', 'office filler possible minimize', 'office filler possible minimize camouflage', 'office filler possible minimize camouflage damage', 'filler', 'filler possible', 'filler possible minimize', 'filler possible minimize camouflage', 'filler possible minimize camouflage damage', 'possible', 'possible minimize', 'possible minimize camouflage', 'possible minimize camouflage damage', 'minimize', 'minimize camouflage', 'minimize camouflage damage', 'camouflage', 'camouflage damage', 'damage']",1,0,0,0.07407407407407407
102731,"Post operation went great, little tenderness and slightly swollen (as should be expected).",0,post operation go great little tenderness slightly swell expect,"['post', 'post operation', 'post operation go', 'post operation go great', 'post operation go great little', 'post operation go great little tenderness', 'post operation go great little tenderness slightly', 'post operation go great little tenderness slightly swell', 'post operation go great little tenderness slightly swell expect', 'operation', 'operation go', 'operation go great', 'operation go great little', 'operation go great little tenderness', 'operation go great little tenderness slightly', 'operation go great little tenderness slightly swell', 'operation go great little tenderness slightly swell expect', 'go', 'go great', 'go great little', 'go great little tenderness', 'go great little tenderness slightly', 'go great little tenderness slightly swell', 'go great little tenderness slightly swell expect', 'great', 'great little', 'great little tenderness', 'great little tenderness slightly', 'great little tenderness slightly swell', 'great little tenderness slightly swell expect', 'little', 'little tenderness', 'little tenderness slightly', 'little tenderness slightly swell', 'little tenderness slightly swell expect', 'tenderness', 'tenderness slightly', 'tenderness slightly swell', 'tenderness slightly swell expect', 'slightly', 'slightly swell', 'slightly swell expect', 'swell', 'swell expect', 'expect']",0,1,0,0.0392156862745098
131237,"You expect that everyone will be nice before you get in the door (they want paid, right?), but they are just as nice afterwards.",0,expect nice door want pay right nice,"['expect', 'expect nice', 'expect nice door', 'expect nice door want', 'expect nice door want pay', 'expect nice door want pay right', 'expect nice door want pay right nice', 'nice', 'nice door', 'nice door want', 'nice door want pay', 'nice door want pay right', 'nice door want pay right nice', 'door', 'door want', 'door want pay', 'door want pay right', 'door want pay right nice', 'want', 'want pay', 'want pay right', 'want pay right nice', 'pay', 'pay right', 'pay right nice', 'right', 'right nice', 'nice']",0,1,0,0.058823529411764705
145398,"With that said, I have had some questionable rashes, though mild and nothing that has threatened my body in other possible ways.",1,say questionable rash mild threaten body possible way,"['say', 'say questionable', 'say questionable rash', 'say questionable rash mild', 'say questionable rash mild threaten', 'say questionable rash mild threaten body', 'say questionable rash mild threaten body possible', 'say questionable rash mild threaten body possible way', 'questionable', 'questionable rash', 'questionable rash mild', 'questionable rash mild threaten', 'questionable rash mild threaten body', 'questionable rash mild threaten body possible', 'questionable rash mild threaten body possible way', 'rash', 'rash mild', 'rash mild threaten', 'rash mild threaten body', 'rash mild threaten body possible', 'rash mild threaten body possible way', 'mild', 'mild threaten', 'mild threaten body', 'mild threaten body possible', 'mild threaten body possible way', 'threaten', 'threaten body', 'threaten body possible', 'threaten body possible way', 'body', 'body possible', 'body possible way', 'possible', 'possible way', 'way']",1,0,0,0.047619047619047616
104324,How can you expect your students to be experienced when you do not offer first year professional development classes.,1,expect student experience not offer year professional development class,"['expect', 'expect student', 'expect student experience', 'expect student experience not', 'expect student experience not offer', 'expect student experience not offer year', 'expect student experience not offer year professional', 'expect student experience not offer year professional development', 'expect student experience not offer year professional development class', 'student', 'student experience', 'student experience not', 'student experience not offer', 'student experience not offer year', 'student experience not offer year professional', 'student experience not offer year professional development', 'student experience not offer year professional development class', 'experience', 'experience not', 'experience not offer', 'experience not offer year', 'experience not offer year professional', 'experience not offer year professional development', 'experience not offer year professional development class', 'not', 'not offer', 'not offer year', 'not offer year professional', 'not offer year professional development', 'not offer year professional development class', 'offer', 'offer year', 'offer year professional', 'offer year professional development', 'offer year professional development class', 'year', 'year professional', 'year professional development', 'year professional development class', 'professional', 'professional development', 'professional development class', 'development', 'development class', 'class']",0,1,0,0.0392156862745098
190858,I wasn't aware of the possible consequences until I met with Dr. Potter who refused to do that procedure,0,aware possible consequence meet dr porter refuse procedure,"['aware', 'aware possible', 'aware possible consequence', 'aware possible consequence meet', 'aware possible consequence meet dr', 'aware possible consequence meet dr porter', 'aware possible consequence meet dr porter refuse', 'aware possible consequence meet dr porter refuse procedure', 'possible', 'possible consequence', 'possible consequence meet', 'possible consequence meet dr', 'possible consequence meet dr porter', 'possible consequence meet dr porter refuse', 'possible consequence meet dr porter refuse procedure', 'consequence', 'consequence meet', 'consequence meet dr', 'consequence meet dr porter', 'consequence meet dr porter refuse', 'consequence meet dr porter refuse procedure', 'meet', 'meet dr', 'meet dr porter', 'meet dr porter refuse', 'meet dr porter refuse procedure', 'dr', 'dr porter', 'dr porter refuse', 'dr porter refuse procedure', 'porter', 'porter refuse', 'porter refuse procedure', 'refuse', 'refuse procedure', 'procedure']",1,0,0,0.047619047619047616
68735,During that time he has been everything we would expect and above call of his duty.,0,time expect duty,"['time', 'time expect', 'time expect duty', 'expect', 'expect duty', 'duty']",0,1,0,0.16666666666666666
156417,"I set up my consultation as soon as possible, the office was quick about getting me in and booking me as soon as possible.",0,set consultation soon possible office quick get book soon possible,"['set', 'set consultation', 'set consultation soon', 'set consultation soon possible', 'set consultation soon possible office', 'set consultation soon possible office quick', 'set consultation soon possible office quick get', 'set consultation soon possible office quick get book', 'set consultation soon possible office quick get book soon', 'set consultation soon possible office quick get book soon possible', 'consultation', 'consultation soon', 'consultation soon possible', 'consultation soon possible office', 'consultation soon possible office quick', 'consultation soon possible office quick get', 'consultation soon possible office quick get book', 'consultation soon possible office quick get book soon', 'consultation soon possible office quick get book soon possible', 'soon', 'soon possible', 'soon possible office', 'soon possible office quick', 'soon possible office quick get', 'soon possible office quick get book', 'soon possible office quick get book soon', 'soon possible office quick get book soon possible', 'possible', 'possible office', 'possible office quick', 'possible office quick get', 'possible office quick get book', 'possible office quick get book soon', 'possible office quick get book soon possible', 'office', 'office quick', 'office quick get', 'office quick get book', 'office quick get book soon', 'office quick get book soon possible', 'quick', 'quick get', 'quick get book', 'quick get book soon', 'quick get book soon possible', 'get', 'get book', 'get book soon', 'get book soon possible', 'book', 'book soon', 'book soon possible', 'soon', 'soon possible', 'possible']",1,0,0,0.03278688524590164
144613,What I didn't expect was to have difficulty with urination.,1,expect difficulty privation,"['expect', 'expect difficulty', 'expect difficulty privation', 'difficulty', 'difficulty privation', 'privation']",0,1,0,0.16666666666666666
