commentId,comment,classification,comment_processed,word_phrase_list,reception,reception amaze,amaze,similarity_score
82076,Patients call back to tell us about their amazing experience with you and your staff,0,patient tell amaze experience staff,"['patient', 'patient tell', 'patient tell amaze', 'patient tell amaze experience', 'patient tell amaze experience staff', 'tell', 'tell amaze', 'tell amaze experience', 'tell amaze experience staff', 'amaze', 'amaze experience', 'amaze experience staff', 'experience', 'experience staff', 'staff']",0,0,1,0.7142857142857143
100159,and staff are amazing and I would highly recommend him for any cosmetic procedure!,0,staff amaze highly recommend cosmetic procedure,"['staff', 'staff amaze', 'staff amaze highly', 'staff amaze highly recommend', 'staff amaze highly recommend cosmetic', 'staff amaze highly recommend cosmetic procedure', 'amaze', 'amaze highly', 'amaze highly recommend', 'amaze highly recommend cosmetic', 'amaze highly recommend cosmetic procedure', 'highly', 'highly recommend', 'highly recommend cosmetic', 'highly recommend cosmetic procedure', 'recommend', 'recommend cosmetic', 'recommend cosmetic procedure', 'cosmetic', 'cosmetic procedure', 'procedure']",0,0,1,0.7142857142857143
99246,Each time I visit Dr. O'leary's office his staff is amazing.,0,time visit dr learn office staff amaze,"['time', 'time visit', 'time visit dr', 'time visit dr learn', 'time visit dr learn office', 'time visit dr learn office staff', 'time visit dr learn office staff amaze', 'visit', 'visit dr', 'visit dr learn', 'visit dr learn office', 'visit dr learn office staff', 'visit dr learn office staff amaze', 'dr', 'dr learn', 'dr learn office', 'dr learn office staff', 'dr learn office staff amaze', 'learn', 'learn office', 'learn office staff', 'learn office staff amaze', 'office', 'office staff', 'office staff amaze', 'staff', 'staff amaze', 'amaze']",0,0,1,0.7142857142857143
130276,I had a breast augmentation in October 2018 and my breasts are so real looking and feeling it amazes me.,0,breast pigmentation breast real look feel amaze,"['breast', 'breast pigmentation', 'breast pigmentation breast', 'breast pigmentation breast real', 'breast pigmentation breast real look', 'breast pigmentation breast real look feel', 'breast pigmentation breast real look feel amaze', 'pigmentation', 'pigmentation breast', 'pigmentation breast real', 'pigmentation breast real look', 'pigmentation breast real look feel', 'pigmentation breast real look feel amaze', 'breast', 'breast real', 'breast real look', 'breast real look feel', 'breast real look feel amaze', 'real', 'real look', 'real look feel', 'real look feel amaze', 'look', 'look feel', 'look feel amaze', 'feel', 'feel amaze', 'amaze']",0,0,1,0.7142857142857143
97024,His front desk staff was amazing,0,desk staff amaze,"['desk', 'desk staff', 'desk staff amaze', 'staff', 'staff amaze', 'amaze']",0,0,1,0.7142857142857143
129056,"the staff and doctor clapp were amazing throughout our whole experience, they were quick to respond to questions,and always very nice.",0,staff doctor klapp amaze experience quick respond questionsand nice,"['staff', 'staff doctor', 'staff doctor klapp', 'staff doctor klapp amaze', 'staff doctor klapp amaze experience', 'staff doctor klapp amaze experience quick', 'staff doctor klapp amaze experience quick respond', 'staff doctor klapp amaze experience quick respond questionsand', 'staff doctor klapp amaze experience quick respond questionsand nice', 'doctor', 'doctor klapp', 'doctor klapp amaze', 'doctor klapp amaze experience', 'doctor klapp amaze experience quick', 'doctor klapp amaze experience quick respond', 'doctor klapp amaze experience quick respond questionsand', 'doctor klapp amaze experience quick respond questionsand nice', 'klapp', 'klapp amaze', 'klapp amaze experience', 'klapp amaze experience quick', 'klapp amaze experience quick respond', 'klapp amaze experience quick respond questionsand', 'klapp amaze experience quick respond questionsand nice', 'amaze', 'amaze experience', 'amaze experience quick', 'amaze experience quick respond', 'amaze experience quick respond questionsand', 'amaze experience quick respond questionsand nice', 'experience', 'experience quick', 'experience quick respond', 'experience quick respond questionsand', 'experience quick respond questionsand nice', 'quick', 'quick respond', 'quick respond questionsand', 'quick respond questionsand nice', 'respond', 'respond questionsand', 'respond questionsand nice', 'questionsand', 'questionsand nice', 'nice']",0,0,1,0.7142857142857143
123663,"there is a reason she has all these amazing reviews, she deserves them and is just that good.",0,reason amaze review deserve good,"['reason', 'reason amaze', 'reason amaze review', 'reason amaze review deserve', 'reason amaze review deserve good', 'amaze', 'amaze review', 'amaze review deserve', 'amaze review deserve good', 'review', 'review deserve', 'review deserve good', 'deserve', 'deserve good', 'good']",0,0,1,0.7142857142857143
85285,Even friends who went to different doctors can't get over how amazing it looks in comparison!,0,friend go different doctor amaze look comparison,"['friend', 'friend go', 'friend go different', 'friend go different doctor', 'friend go different doctor amaze', 'friend go different doctor amaze look', 'friend go different doctor amaze look comparison', 'go', 'go different', 'go different doctor', 'go different doctor amaze', 'go different doctor amaze look', 'go different doctor amaze look comparison', 'different', 'different doctor', 'different doctor amaze', 'different doctor amaze look', 'different doctor amaze look comparison', 'doctor', 'doctor amaze', 'doctor amaze look', 'doctor amaze look comparison', 'amaze', 'amaze look', 'amaze look comparison', 'look', 'look comparison', 'comparison']",0,0,1,0.7142857142857143
89239,Dr Truesdale did an amazing job with me from consultation to follow up after my breast implants.,0,amaze job consultation follow breast plant,"['amaze', 'amaze job', 'amaze job consultation', 'amaze job consultation follow', 'amaze job consultation follow breast', 'amaze job consultation follow breast plant', 'job', 'job consultation', 'job consultation follow', 'job consultation follow breast', 'job consultation follow breast plant', 'consultation', 'consultation follow', 'consultation follow breast', 'consultation follow breast plant', 'follow', 'follow breast', 'follow breast plant', 'breast', 'breast plant', 'plant']",0,0,1,0.7142857142857143
189598,My wife and I saw Dr Rudner in 2006 and everything still looks Iamazing wish,0,wife see dr runner look amaze wish,"['wife', 'wife see', 'wife see dr', 'wife see dr runner', 'wife see dr runner look', 'wife see dr runner look amaze', 'wife see dr runner look amaze wish', 'see', 'see dr', 'see dr runner', 'see dr runner look', 'see dr runner look amaze', 'see dr runner look amaze wish', 'dr', 'dr runner', 'dr runner look', 'dr runner look amaze', 'dr runner look amaze wish', 'runner', 'runner look', 'runner look amaze', 'runner look amaze wish', 'look', 'look amaze', 'look amaze wish', 'amaze', 'amaze wish', 'wish']",0,0,1,0.7142857142857143
140163,Everything about my experience here was amazing!,0,experience amaze,"['experience', 'experience amaze', 'amaze']",0,0,1,0.7142857142857143
82193,and his staff are absolutely amazing,0,staff absolutely amaze,"['staff', 'staff absolutely', 'staff absolutely amaze', 'absolutely', 'absolutely amaze', 'amaze']",0,0,1,0.7142857142857143
110120,His professionalism and amazing bedside manner is beyond compare.,0,professionalism amaze bedside manner compare,"['professionalism', 'professionalism amaze', 'professionalism amaze bedside', 'professionalism amaze bedside manner', 'professionalism amaze bedside manner compare', 'amaze', 'amaze bedside', 'amaze bedside manner', 'amaze bedside manner compare', 'bedside', 'bedside manner', 'bedside manner compare', 'manner', 'manner compare', 'compare']",0,0,1,0.7142857142857143
152324,Once I got into the consultation room Maria was amazing.,0,get consultation room mare amaze,"['get', 'get consultation', 'get consultation room', 'get consultation room mare', 'get consultation room mare amaze', 'consultation', 'consultation room', 'consultation room mare', 'consultation room mare amaze', 'room', 'room mare', 'room mare amaze', 'mare', 'mare amaze', 'amaze']",0,0,1,0.7142857142857143
112535,"Dr Roni Prucz, has performed two surgeries for two separate basil cell cancer surgeries on my face and he is amazing.",0,perform forgery separate basil cell cancer forgery face amaze,"['perform', 'perform forgery', 'perform forgery separate', 'perform forgery separate basil', 'perform forgery separate basil cell', 'perform forgery separate basil cell cancer', 'perform forgery separate basil cell cancer forgery', 'perform forgery separate basil cell cancer forgery face', 'perform forgery separate basil cell cancer forgery face amaze', 'forgery', 'forgery separate', 'forgery separate basil', 'forgery separate basil cell', 'forgery separate basil cell cancer', 'forgery separate basil cell cancer forgery', 'forgery separate basil cell cancer forgery face', 'forgery separate basil cell cancer forgery face amaze', 'separate', 'separate basil', 'separate basil cell', 'separate basil cell cancer', 'separate basil cell cancer forgery', 'separate basil cell cancer forgery face', 'separate basil cell cancer forgery face amaze', 'basil', 'basil cell', 'basil cell cancer', 'basil cell cancer forgery', 'basil cell cancer forgery face', 'basil cell cancer forgery face amaze', 'cell', 'cell cancer', 'cell cancer forgery', 'cell cancer forgery face', 'cell cancer forgery face amaze', 'cancer', 'cancer forgery', 'cancer forgery face', 'cancer forgery face amaze', 'forgery', 'forgery face', 'forgery face amaze', 'face', 'face amaze', 'amaze']",0,0,1,0.7142857142857143
127527,I will be going to him as a new patient for my back pain due to the amazing experience my girl had.,0,go new patient pain amaze experience girl,"['go', 'go new', 'go new patient', 'go new patient pain', 'go new patient pain amaze', 'go new patient pain amaze experience', 'go new patient pain amaze experience girl', 'new', 'new patient', 'new patient pain', 'new patient pain amaze', 'new patient pain amaze experience', 'new patient pain amaze experience girl', 'patient', 'patient pain', 'patient pain amaze', 'patient pain amaze experience', 'patient pain amaze experience girl', 'pain', 'pain amaze', 'pain amaze experience', 'pain amaze experience girl', 'amaze', 'amaze experience', 'amaze experience girl', 'experience', 'experience girl', 'girl']",0,0,1,0.7142857142857143
82951,"The atmosphere at Nayak Plastic Surgery is amazing and I absolutely look forward to working with Dr. Nayak, Racquel,",0,atmosphere naval plastic surgery amaze absolutely look forward work,"['atmosphere', 'atmosphere naval', 'atmosphere naval plastic', 'atmosphere naval plastic surgery', 'atmosphere naval plastic surgery amaze', 'atmosphere naval plastic surgery amaze absolutely', 'atmosphere naval plastic surgery amaze absolutely look', 'atmosphere naval plastic surgery amaze absolutely look forward', 'atmosphere naval plastic surgery amaze absolutely look forward work', 'naval', 'naval plastic', 'naval plastic surgery', 'naval plastic surgery amaze', 'naval plastic surgery amaze absolutely', 'naval plastic surgery amaze absolutely look', 'naval plastic surgery amaze absolutely look forward', 'naval plastic surgery amaze absolutely look forward work', 'plastic', 'plastic surgery', 'plastic surgery amaze', 'plastic surgery amaze absolutely', 'plastic surgery amaze absolutely look', 'plastic surgery amaze absolutely look forward', 'plastic surgery amaze absolutely look forward work', 'surgery', 'surgery amaze', 'surgery amaze absolutely', 'surgery amaze absolutely look', 'surgery amaze absolutely look forward', 'surgery amaze absolutely look forward work', 'amaze', 'amaze absolutely', 'amaze absolutely look', 'amaze absolutely look forward', 'amaze absolutely look forward work', 'absolutely', 'absolutely look', 'absolutely look forward', 'absolutely look forward work', 'look', 'look forward', 'look forward work', 'forward', 'forward work', 'work']",0,0,1,0.7142857142857143
117056,"I did eye surgery with dr wise and festoon everything great he?s amazing doctor,he got a lot of knowledge on he?s field",0,eye surgery dr wise fenton great s amaze doctor get lot cognition s field,"['eye', 'eye surgery', 'eye surgery dr', 'eye surgery dr wise', 'eye surgery dr wise fenton', 'eye surgery dr wise fenton great', 'eye surgery dr wise fenton great s', 'eye surgery dr wise fenton great s amaze', 'eye surgery dr wise fenton great s amaze doctor', 'eye surgery dr wise fenton great s amaze doctor get', 'eye surgery dr wise fenton great s amaze doctor get lot', 'eye surgery dr wise fenton great s amaze doctor get lot cognition', 'eye surgery dr wise fenton great s amaze doctor get lot cognition s', 'eye surgery dr wise fenton great s amaze doctor get lot cognition s field', 'surgery', 'surgery dr', 'surgery dr wise', 'surgery dr wise fenton', 'surgery dr wise fenton great', 'surgery dr wise fenton great s', 'surgery dr wise fenton great s amaze', 'surgery dr wise fenton great s amaze doctor', 'surgery dr wise fenton great s amaze doctor get', 'surgery dr wise fenton great s amaze doctor get lot', 'surgery dr wise fenton great s amaze doctor get lot cognition', 'surgery dr wise fenton great s amaze doctor get lot cognition s', 'surgery dr wise fenton great s amaze doctor get lot cognition s field', 'dr', 'dr wise', 'dr wise fenton', 'dr wise fenton great', 'dr wise fenton great s', 'dr wise fenton great s amaze', 'dr wise fenton great s amaze doctor', 'dr wise fenton great s amaze doctor get', 'dr wise fenton great s amaze doctor get lot', 'dr wise fenton great s amaze doctor get lot cognition', 'dr wise fenton great s amaze doctor get lot cognition s', 'dr wise fenton great s amaze doctor get lot cognition s field', 'wise', 'wise fenton', 'wise fenton great', 'wise fenton great s', 'wise fenton great s amaze', 'wise fenton great s amaze doctor', 'wise fenton great s amaze doctor get', 'wise fenton great s amaze doctor get lot', 'wise fenton great s amaze doctor get lot cognition', 'wise fenton great s amaze doctor get lot cognition s', 'wise fenton great s amaze doctor get lot cognition s field', 'fenton', 'fenton great', 'fenton great s', 'fenton great s amaze', 'fenton great s amaze doctor', 'fenton great s amaze doctor get', 'fenton great s amaze doctor get lot', 'fenton great s amaze doctor get lot cognition', 'fenton great s amaze doctor get lot cognition s', 'fenton great s amaze doctor get lot cognition s field', 'great', 'great s', 'great s amaze', 'great s amaze doctor', 'great s amaze doctor get', 'great s amaze doctor get lot', 'great s amaze doctor get lot cognition', 'great s amaze doctor get lot cognition s', 'great s amaze doctor get lot cognition s field', 's', 's amaze', 's amaze doctor', 's amaze doctor get', 's amaze doctor get lot', 's amaze doctor get lot cognition', 's amaze doctor get lot cognition s', 's amaze doctor get lot cognition s field', 'amaze', 'amaze doctor', 'amaze doctor get', 'amaze doctor get lot', 'amaze doctor get lot cognition', 'amaze doctor get lot cognition s', 'amaze doctor get lot cognition s field', 'doctor', 'doctor get', 'doctor get lot', 'doctor get lot cognition', 'doctor get lot cognition s', 'doctor get lot cognition s field', 'get', 'get lot', 'get lot cognition', 'get lot cognition s', 'get lot cognition s field', 'lot', 'lot cognition', 'lot cognition s', 'lot cognition s field', 'cognition', 'cognition s', 'cognition s field', 's', 's field', 'field']",0,0,1,0.7142857142857143
130551,"My experience with dr jones has been amazing, I had a procedure done on my face when I first met him.",0,experience amaze procedure face meet,"['experience', 'experience amaze', 'experience amaze procedure', 'experience amaze procedure face', 'experience amaze procedure face meet', 'amaze', 'amaze procedure', 'amaze procedure face', 'amaze procedure face meet', 'procedure', 'procedure face', 'procedure face meet', 'face', 'face meet', 'meet']",0,0,1,0.7142857142857143
143588,Hospital staff was amazing along with his office staff.,0,hospital staff amaze office staff,"['hospital', 'hospital staff', 'hospital staff amaze', 'hospital staff amaze office', 'hospital staff amaze office staff', 'staff', 'staff amaze', 'staff amaze office', 'staff amaze office staff', 'amaze', 'amaze office', 'amaze office staff', 'office', 'office staff', 'staff']",0,0,1,0.7142857142857143
185582,Rushed out the door to the receptionist who asks me for my name and interrupted me three letters in;,1,rush door reception ask interrupt letter,"['rush', 'rush door', 'rush door reception', 'rush door reception ask', 'rush door reception ask interrupt', 'rush door reception ask interrupt letter', 'door', 'door reception', 'door reception ask', 'door reception ask interrupt', 'door reception ask interrupt letter', 'reception', 'reception ask', 'reception ask interrupt', 'reception ask interrupt letter', 'ask', 'ask interrupt', 'ask interrupt letter', 'interrupt', 'interrupt letter', 'letter']",1,0,0,0.7142857142857143
110434,"Amazing doctor who is skilled, wise, and gifted in hisspecialty.Excellent pre-and-post surgery care.Wonderful staff",0,amaze doctor skilled wise gift hisspecialtyexcellent preandpost surgery carewonderful staff,"['amaze', 'amaze doctor', 'amaze doctor skilled', 'amaze doctor skilled wise', 'amaze doctor skilled wise gift', 'amaze doctor skilled wise gift hisspecialtyexcellent', 'amaze doctor skilled wise gift hisspecialtyexcellent preandpost', 'amaze doctor skilled wise gift hisspecialtyexcellent preandpost surgery', 'amaze doctor skilled wise gift hisspecialtyexcellent preandpost surgery carewonderful', 'amaze doctor skilled wise gift hisspecialtyexcellent preandpost surgery carewonderful staff', 'doctor', 'doctor skilled', 'doctor skilled wise', 'doctor skilled wise gift', 'doctor skilled wise gift hisspecialtyexcellent', 'doctor skilled wise gift hisspecialtyexcellent preandpost', 'doctor skilled wise gift hisspecialtyexcellent preandpost surgery', 'doctor skilled wise gift hisspecialtyexcellent preandpost surgery carewonderful', 'doctor skilled wise gift hisspecialtyexcellent preandpost surgery carewonderful staff', 'skilled', 'skilled wise', 'skilled wise gift', 'skilled wise gift hisspecialtyexcellent', 'skilled wise gift hisspecialtyexcellent preandpost', 'skilled wise gift hisspecialtyexcellent preandpost surgery', 'skilled wise gift hisspecialtyexcellent preandpost surgery carewonderful', 'skilled wise gift hisspecialtyexcellent preandpost surgery carewonderful staff', 'wise', 'wise gift', 'wise gift hisspecialtyexcellent', 'wise gift hisspecialtyexcellent preandpost', 'wise gift hisspecialtyexcellent preandpost surgery', 'wise gift hisspecialtyexcellent preandpost surgery carewonderful', 'wise gift hisspecialtyexcellent preandpost surgery carewonderful staff', 'gift', 'gift hisspecialtyexcellent', 'gift hisspecialtyexcellent preandpost', 'gift hisspecialtyexcellent preandpost surgery', 'gift hisspecialtyexcellent preandpost surgery carewonderful', 'gift hisspecialtyexcellent preandpost surgery carewonderful staff', 'hisspecialtyexcellent', 'hisspecialtyexcellent preandpost', 'hisspecialtyexcellent preandpost surgery', 'hisspecialtyexcellent preandpost surgery carewonderful', 'hisspecialtyexcellent preandpost surgery carewonderful staff', 'preandpost', 'preandpost surgery', 'preandpost surgery carewonderful', 'preandpost surgery carewonderful staff', 'surgery', 'surgery carewonderful', 'surgery carewonderful staff', 'carewonderful', 'carewonderful staff', 'staff']",0,0,1,0.7142857142857143
157188,"On a lucky day when i was browsing the internet, i came across some amazing testimonies",0,browse internet come amaze testimonial,"['browse', 'browse internet', 'browse internet come', 'browse internet come amaze', 'browse internet come amaze testimonial', 'internet', 'internet come', 'internet come amaze', 'internet come amaze testimonial', 'come', 'come amaze', 'come amaze testimonial', 'amaze', 'amaze testimonial', 'testimonial']",0,0,1,0.7142857142857143
152934,"Amazing from Start 2 Finish!, I've spent the better part of my adult life with body image issues due to a childhood surgery.",0,amaze start finish ve spend good adult life body image issue childhood surgery,"['amaze', 'amaze start', 'amaze start finish', 'amaze start finish ve', 'amaze start finish ve spend', 'amaze start finish ve spend good', 'amaze start finish ve spend good adult', 'amaze start finish ve spend good adult life', 'amaze start finish ve spend good adult life body', 'amaze start finish ve spend good adult life body image', 'amaze start finish ve spend good adult life body image issue', 'amaze start finish ve spend good adult life body image issue childhood', 'amaze start finish ve spend good adult life body image issue childhood surgery', 'start', 'start finish', 'start finish ve', 'start finish ve spend', 'start finish ve spend good', 'start finish ve spend good adult', 'start finish ve spend good adult life', 'start finish ve spend good adult life body', 'start finish ve spend good adult life body image', 'start finish ve spend good adult life body image issue', 'start finish ve spend good adult life body image issue childhood', 'start finish ve spend good adult life body image issue childhood surgery', 'finish', 'finish ve', 'finish ve spend', 'finish ve spend good', 'finish ve spend good adult', 'finish ve spend good adult life', 'finish ve spend good adult life body', 'finish ve spend good adult life body image', 'finish ve spend good adult life body image issue', 'finish ve spend good adult life body image issue childhood', 'finish ve spend good adult life body image issue childhood surgery', 've', 've spend', 've spend good', 've spend good adult', 've spend good adult life', 've spend good adult life body', 've spend good adult life body image', 've spend good adult life body image issue', 've spend good adult life body image issue childhood', 've spend good adult life body image issue childhood surgery', 'spend', 'spend good', 'spend good adult', 'spend good adult life', 'spend good adult life body', 'spend good adult life body image', 'spend good adult life body image issue', 'spend good adult life body image issue childhood', 'spend good adult life body image issue childhood surgery', 'good', 'good adult', 'good adult life', 'good adult life body', 'good adult life body image', 'good adult life body image issue', 'good adult life body image issue childhood', 'good adult life body image issue childhood surgery', 'adult', 'adult life', 'adult life body', 'adult life body image', 'adult life body image issue', 'adult life body image issue childhood', 'adult life body image issue childhood surgery', 'life', 'life body', 'life body image', 'life body image issue', 'life body image issue childhood', 'life body image issue childhood surgery', 'body', 'body image', 'body image issue', 'body image issue childhood', 'body image issue childhood surgery', 'image', 'image issue', 'image issue childhood', 'image issue childhood surgery', 'issue', 'issue childhood', 'issue childhood surgery', 'childhood', 'childhood surgery', 'surgery']",0,0,1,0.7142857142857143
181435,I found this office based on their amazing reviews.,0,find office base amaze review,"['find', 'find office', 'find office base', 'find office base amaze', 'find office base amaze review', 'office', 'office base', 'office base amaze', 'office base amaze review', 'base', 'base amaze', 'base amaze review', 'amaze', 'amaze review', 'review']",0,0,1,0.7142857142857143
110498,"I would definitely recommend them! Dr Steward, Kelly and all the nursing staff were amazing.",0,decidedly recommend dr nurse staff amaze,"['decidedly', 'decidedly recommend', 'decidedly recommend dr', 'decidedly recommend dr nurse', 'decidedly recommend dr nurse staff', 'decidedly recommend dr nurse staff amaze', 'recommend', 'recommend dr', 'recommend dr nurse', 'recommend dr nurse staff', 'recommend dr nurse staff amaze', 'dr', 'dr nurse', 'dr nurse staff', 'dr nurse staff amaze', 'nurse', 'nurse staff', 'nurse staff amaze', 'staff', 'staff amaze', 'amaze']",0,0,1,0.7142857142857143
